title,ingredients,instructions,servings,cook_time,url,scraped_at
My First Ever Super Tasty Super Simple Upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","tbsp black sesame seeds | Melt the ghee in a pan and fry the finely chopped onions till fragrant, fry the lentils with it too, add salt to taste | Next add the semolina, you can dry roast it beforehand but i skipped this step as i didnt notice a big difference, add water,cover it and reduce the heat | Stir it from time to time and when the semolina is soft add the black sesame seeds, serve hot and enjoy | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Crockpot Spicy Pineapple Rum Chicken | Onion Bagel Breakfast Sandwich | Black Bean Pumpkin Chowder | Creamy Jasmine Rice 🍚 | Boiled Broccoli with Raw Carrots and Banana | Weight Loss Magic Dish | Almost Raw Vegan Weight Loss Yummy Choco Cake | Black Bean Pumpkin Chowder",1,20 mins,https://cookpad.com/eng/recipes/17260869,2025-08-07T18:25:39.969492
Soji appam,"Search | Challenges | FAQ | Send Feedback | Your Collection | குக்ஸ்னாப் சேர்க்க | அன் பாலவ்




    பின்பற்ற | அச்சு | Copy URL
 
            நகலெடுக்க! | மின்னஞ்சல் | முகநூல் | pin it | Twitter | மேலும் | ரெசிபியை ரிப்போர்ட் செய்க","/2cupFine semolina | /2cupAll Purpose Enriched Wheat Flour | Pinchturmeric powder | tablespoonpeanut oil | cupcoconut grated | cupPowdered jaggery | tspCardamom powder | Required oil (Preferably peanut oil) for frying | sweet, soji appam | Prepare a checklist. Keep the necessary items near the cooking area | Prepare a checklist. Keep the necessary items near the cooking area | To make the wrap:
Combine semolina, flour, turmeric and salt in a bowl. Pour 1 tablespoon of hot oil and knead well by hand.
Add water little by little and gently knead for 10 minutes. Make a soft dough. Apply oil on top and cover and rest for 30 minutes. | To make the filling:
Roast the semolina in a sauce pan over medium heat until golden brown.
Bring ¼ cup water to a boil in a sauce pan over medium heat. Jaggery is 100% pure here, no need to distill it to add jaggery. Let it boil. Add Grated coconut, roasted semolina, cardamom powder and salt. Stir together. Turn off the stove. Let cool. Then make small balls.

Making soji appam: Pinch 3tbsp dough; grease your palm. Keep the dough in the palm, and make lemon size balls | Convert the ball into a basket like structure, keep the filling in the center, bring the edges together, and close (just as you would make poli or kachori) | Place this on a greased parchment paper or palm and flatten it by gently patting it with your fingers (picture).
Heat oil in a heavy bottomed pan over medium heat. Fry the soji appam one by one. Place the spoon over the edge and rotate it slowly. Let both sides become golden brown. Take it out. drain the oil. Place on a paper towel to absorb excess oil on the surface | Then transfer to another plate. A delicious soji appam is ready. Taste and serve. Enjoy, have a good celebration with friends and family | ஹாட் சாக்லேட் கேக் (hot choclate cake 🍰) | இனிப்பு ரவை.5-10 நிமிடத்தில் செய்திடலாம். காலை டிஃபன் அல்லது இரவு உணவிற்கு ஏற்றது | ஹாட் சாக்லேட் கேக் | வெயிட் லாஸ் ஜுஸ்(weightlosss juice recipe in tamil) | *லெமன், மின்ட், ஜூஸ்(lemon mint juice recipe in tamil) | காரட் ஜூஸ்(carrot juice recipe in tamil) | பப்பாளி ஆரஞ்சு மாக்டெய்ல்(orange papaya mocktail recipe in tamil) | மூங்தாள் குழம்பு | பிங்க் லெமனேட்(pink lemonade recipe in tamil) | *லெமன், மின்ட், ஜூஸ்(lemon mint juice recipe in tamil) | வெந்தயக்கீரை முட்டை பொரியல்(keerai muttai poriyal recipe in tamil) | உருளைக்கிழங்கு ப்ரை(potato fry recipe in tamil)",6,20 mins,https://cookpad.com/us/recipes/16595291,2025-08-07T18:25:45.516547
Sri Lankan Yellow Rice (Kaha Bath),"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","Cups Long Grain Basmati Rice | ml or 1 Can Coconut Milk or 250 ml | -4 Cinnamon sticks | Teaspoon Turmeric | Tablespoon Garlic and Ginger Paste | tablespoon Pure Ghee | A few Coriander and Mint leaves | In a rice cooker bowl: Wash the rice 3-4 times until water is clear. Drain all the water from the rice. | Make a mixture of coconut milk and 6 cups of water | Add coconut milk and water mixture to the rice | Add the ingredients from the spices section and mix well | Cover and let the ingredients rest for 1 hour.. longer the better. | When ready to cook. Activate the rice cooker | When the rice is cooked, fluff up the rice and garnish with some coriander and mint leaves | Fragrant Rice is now ready to served with the choice of your favorite curries 😊 | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Ground Beef Philly Melt | Geometric rhubarb tart with vanilla custard and shortbread crust | Dutch Baby Pancake | Japanese Seaweed Salad with Sesame & Miso Dressing | Real shrimp Ramen noodle with bokchoy | Karnıyarık (Eggplants Stuffed with Ground Meat Sauce) | Gougères Cheese Puffs 芝士泡芙",4-6,20 mins,https://cookpad.com/eng/recipes/14282812,2025-08-07T18:25:49.199370
Besan appam(gabgola),"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","cup  Gram flour or besan 1 cup | Coriander +salt+baking soda | ml water+1 spoon lemon juice | Mix gram flour,coriander baking soda and lemon juice and water | Then put in to appam tva and cover it for 2-3 minutes 
And then serve with any liquid and enjoy healthy and tasty food. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Old Fashioned Baked Macaroni and Cheese | Homemade Cherry pie filling | Lemon Shallot Salmon | Potato stuffing for duck or goose | Belgian pear and cranberry compote",2,15 mins,https://cookpad.com/eng/recipes/11940518,2025-08-07T18:25:58.768666
Sama rice upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","and 1/2 cup sama rice | ,7 green chillies | tbspoons roasted peanut powder | small potato chopped | tspoon cumin seeds | tbspoon desi ghee | Wash and soak sama rice in curd.add some water too. keep aside for ten minutes. | Chop chillies.heat deep pan add desi ghee once hot add cumin seeds.add chopped chillies and potato.saute cook for five minutes or till potato becomes soft. | Now add soaked sama rice,saute for couple of minutes.add roasted peanut powder,sugar,salt.mix well and cook for 6to 7 minutes. | Serve hot with chutney or curd. today I served it with boiled sweet potato and fresh curd. enjoy. don't forget to add dollop of desi ghee. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Low Carb (Keto - Friendly) Chicken Lasagna without Noodles Pasta | Fresh Mixed Berry Pie | Autumn Squash Soup: A Vegan Panera Copycat Recipe | Strawberry Rhubarb Tarts | Low Carb (Keto - Friendly) Strawberry Smoothie | South Indian Pork vindhalu | Langue de Chat Cookie (Only 4 Ingredients) | Almond Honey Monkey Bread | Strawberry Rhubarb Tarts",3,30 mins,https://cookpad.com/eng/recipes/15555927,2025-08-07T18:26:03.501214
Rava upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","gms rava (roasted) | tbsp cumin seeds | tbsp black mustard seeds | -4 carrots (finely chopped) | onion (finely chopped) | -4 tbsp roasted chaana daal (split chickpeas) | small bowl peanuts | -3 green chilis slit | Roast the rava beforehand. Keep aside. In a frying pan add in the chopped onions and carrots, peanuts, split chickpeas and stir fry. | Take some ghee in pan let it melt. Add in the cumin and black mustard seeds and let it splutter. Also add the curry leaves as well. Pour the roasted rava into the pan and mix well. Add in the chopped veggies and continue stirring. Adjust salt and sugar accordingly. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Peanut Butter Chocolate Chip Cookies | Lemon Butter Ribeye n’ Shrimp | Ginger Chicken Porridge with Curry Spices • Curried Arroz Caldo • Spiced Congee | White Peach and Blackberry Scones | Northern Fried Chicken | Lemon Butter Ribeye n’ Shrimp | Shahi parval (pointed gourd curry)",2,30 mins,https://cookpad.com/eng/recipes/15471972,2025-08-07T18:26:07.277578
Broken Wheat upma | Dalia upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","cup Broken wheat | pcs chopped carrot | pcs green chilli | /4 tsp mustard seed | /4 tsp urad dhall | /4 tsp chana dhall | leaves Few curry | Heat oil in a pan,add mustard seed,urad dhall & chana dhall.Once mustard seeds started splaterring add onion,green chilli,ginger & curry leaves. | Once onion turns transparent add carrot,peas,tomato,salt & saute it for 5minutes. | Then add water,for 1cup of broken wheat add 2cups of water. | Once water starts boiling add broken wheat & mix it. Cover the pan & keep the flame on medium low. | Wait till the broken wheat cooked & water is absorbed. Once cooked turn off the stove. | Our broken wheat upma or dalia upma is ready to serve with coconut chutney or pickle :-) | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Banana Bread Muffins | Garlic Roasted Brussel Sprouts | Homemade Mushroom Stroganoff | Chicken Baked Empanadas | Cinnamon Apple Cookies | Pork Chorizo burgers | Avocado Egg in the Middle with Bacon | Rich Chocolate Mousse Cake | Curry chicken salad",,5 mins,https://cookpad.com/eng/recipes/15051043,2025-08-07T18:26:10.667680
Heart shape spicy upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","tbsp green chilli ginger paste | tbsp red chilli garlic paste | tsp turmeric powder | tbsp chopped coriander leaves | tsp mustard seeds | Pinch asafoetida | tbsps beet root pulp | as needed Tutti fruiti for garnish | tbsp grated carrot | Together all ingredients, add oil in a heat pan,add muster seeds saute for few seconds,crackle it add cumin seeds,sauté it.Now add semolina roast properly until light brown.now add all masala,grated carrot curry leaves,mix all well.add beet root pulp& water stir cook for 3/4 minutes (continue stirring.)Turn off the flame. | Take some part of Upma incutlets mould for heart shape.our tasty spicy yummy Upma are ready.Decorate with tutti fruity. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Hamburger Vegetable Soup | Jalapeno Popper Chicken Pizza | Lauren's Bacon Ranch Pasta Salad | Homemade No-Knead Rustic Bread | Blueberry Cheesecake 🫐 | Cheesecake Without Baking | Baked Oats(Ben and Jerry inspired flavour) | Cookie dough baked oats | Eggless chocolate ganache raspberry cake | French butter sauce",2,15 mins,https://cookpad.com/eng/recipes/14588249,2025-08-07T18:26:14.864691
Vermicelli upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","gms semolina vermicelli | /2 tbsp Cumin seeds | /2 tbsp Mustard seeds | tbsp Coariander leaves | tsp   lemon juice | Dry roast vermicelli in kadai, use deep pan,soak peanuts in water. | Add oil to kadai, boil water in another pan. Once oil is hot put cumin and mustard seeds saute add chopped chillies and curry leaves,add chopped onion saute,add peanuts. | Now add boiling water to kadai, don't add 500ml at once first add half.add salt, sugar and lemon juice to it.once starts boiling add vermicelli to it | Mix well and cook for ten minutes. Serve hot,sprinkle some bhujia it's optional but adds some crunch. Very tasty and healthy breakfast. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Burrito in a Jar | Rosemary Chicken Thighs w Roasted Grapes and Smashed Parsnips | Banana Fritters with Sweet & Spicy Soy Sauce Dip | Mushroom Cookies | Dill Pickle Cheese Ball | Veggie Salad Tart | Pink healthy bowl of smoothie ❤ | Vermicelli With Sugar",4,25 mins,https://cookpad.com/eng/recipes/13842907,2025-08-07T18:26:30.056253
Vegetable Upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","Sugar half tea spoon | Turmeric, kastori methi, red chilli, hing | Vegetables one bowl any of your choice like capsicum, carrot | Ghee 2 table spoons | Take a pan, put on flame now put soji in pan and roast it, till it change color. | Now add one spoon ghee, and roast all the cutted vegetables, when all the vegetables cooked add spices and sugar. | Now add soji in the content and mix it | Add water and stimmer till the water soaked. | Now it is ready. serve it with Tea or coffee | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Roasted Ranch Potatoes | Cinnamon Swirl Banana Bread | Orange 🍊 Juice Glaze | Gluten-free chewy chocolate chip cookies - Large Family | Easiest spaghetti bolognese",2,15 mins,https://cookpad.com/eng/recipes/13830636,2025-08-07T18:26:34.366478
