title,ingredients,instructions,servings,cook_time,url,scraped_at,ingredients_per_person
California Farm Cookpad Planning,"10 pounds sugar $6 | 5 pounds milk powder $30 | 5 pounds green coffee beans $30 | 1 gallon corn oil $10 | 4 pounds lard $8 | 2 pounds sea salt $3 | 1 pound each dried peppers $6, dried garlic $5, baking soda $4 | 5 liter box wine concentrate $23, to make 36 bottles of wine | 7 pounds malt $30 to make 50 bottles of beer | 1 pound tea $5 | 12 dozen eggs $60 | 10 pound each frozen chicken legs $5, pork shoulder$15, salmon $60, ground beef $40, soy beans to make tofu $5 | 6 pounds mung bean for sprouts $6 | 12 pounds tomatoes $24 | 1 each bought fresh weekly, lettuce $2, cauliflower $2, cabbage $2, zuchini $1, cucumber 50 cents, | 2 each bought fresh weekly, Bananas $1, avocados $1, apples $2, oranges $2 | California Farm Wild Rice Breakfast Pancakes California Farm Wild Rice Breakfast Pancakes Cooked on a dry hot cast iron griddle, skillet or a ceramic tile in the oven, 16 pancakes for two people, quick breakfast becomes a feast. Tastes great reheated in the microwave too, from frozen. The native wild rice is roasted when harvested and that gives a special nutty flavor to the pancakes. Delicious when dipped in maple syrup. Hobby Horseman","pounds each Whole wheat kernels, masa corn,long grain rice, dried beans, lentils, onions, potatoes, carrots, $176 California Farm Foods for Centennials | pounds milk powder $30 | pounds green coffee beans $30 | gallon corn oil $10 | pounds sea salt $3 | pound each dried peppers $6, dried garlic $5, baking soda $4 | liter box wine concentrate $23, to make 36 bottles of wine | pounds malt $30 to make 50 bottles of beer | pound each frozen chicken legs $5, pork shoulder$15, salmon $60, ground beef $40, soy beans to make tofu $5 | pounds mung bean for sprouts $6 | pounds tomatoes $24 | each bought fresh weekly, lettuce $2, cauliflower $2, cabbage $2, zuchini $1, cucumber 50 cents, | each bought fresh weekly, Bananas $1, avocados $1, apples $2, oranges $2 | Cost for the staples $239, $35 for the condiments, $65 for the drinks, $185 for the proteins, $138 for vegetables, fruits $72, other $50 | Equipment: manual hopper flour grinder, $47, cast iron skillet $10",1,4 mins,https://cookpad.com/eng/recipes/17004894,2025-08-07T19:02:32.040920,"10 pounds sugar $6 | 5 pounds milk powder $30 | 5 pounds green coffee beans $30 | 1 gallon corn oil $10 | 4 pounds lard $8 | 2 pounds sea salt $3 | 1 pound each dried peppers $6, dried garlic $5, baking soda $4 | 5 liter box wine concentrate $23, to make 36 bottles of wine | 7 pounds malt $30 to make 50 bottles of beer | 1 pound tea $5 | 12 dozen eggs $60 | 10 pound each frozen chicken legs $5, pork shoulder$15, salmon $60, ground beef $40, soy beans to make tofu $5 | 6 pounds mung bean for sprouts $6 | 12 pounds tomatoes $24 | 1 each bought fresh weekly, lettuce $2, cauliflower $2, cabbage $2, zuchini $1, cucumber 50 cents, | 2 each bought fresh weekly, Bananas $1, avocados $1, apples $2, oranges $2 | California Farm Wild Rice Breakfast Pancakes California Farm Wild Rice Breakfast Pancakes Cooked on a dry hot cast iron griddle, skillet or a ceramic tile in the oven, 16 pancakes for two people, quick breakfast becomes a feast. Tastes great reheated in the microwave too, from frozen. The native wild rice is roasted when harvested and that gives a special nutty flavor to the pancakes. Delicious when dipped in maple syrup. Hobby Horseman"
Idliappam (hoppers),2 cups Rice flour | 1 cup Fresh Grated Coconut | 6 cups Boiled Water | 1 tsp oil | 1 Add salt and oil to the rice flour and mix it properly | 2 Now add boiled water little by little let it form a soft dough | 3 Feed small small portions into the mould,"cup Fresh Grated Coconut | cups Boiled Water | As per taste Salt | Add salt and oil to the rice flour and mix it properly | Now add boiled water little by little let it form a soft dough | Feed small small portions into the mould | And spread it in idliappam tray to steam, add little coconut on top and steam for 30 minutes | Pears as marmalade - a very simple pear jam recipe! | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Best Orange Chicken | Low Carb Coleslaw (sugar free!) | Chicken Stew in Kolkata Style",,30 mins,https://cookpad.com/eng/recipes/9300319,2025-08-07T19:02:36.025842,2 cups Rice flour | 1 cup Fresh Grated Coconut | 6 cups Boiled Water | 1 tsp oil | 1 Add salt and oil to the rice flour and mix it properly | 2 Now add boiled water little by little let it form a soft dough | 3 Feed small small portions into the mould
Hoppers,500 g white rice | 750 ml thick coconut milk | 2 tb sugar | 2 tb yeast | 1 egg | 1 Wash the rice and soak the rice for 4 hours. Drain the rice. | 4 Heat Hopper pan and some oil. Add 1/4 cup Hopper batter in centre of pan and swirl around cover and cook for 3 - 5 minutes | 5 Loosen Hopper with knife and serve.,"ml thick coconut milk | Wash the rice and soak the rice for 4 hours. Drain the rice. | In a blender put rice coconut milk, sugar, salt, yeast and egg. Blend The rice and remaining until become a paste. Consistency should be thinner than pancake batter. | In a bowel add the mixer. Keep for rest for about 2 hours. The mixer should double in size. | Heat Hopper pan and some oil. Add 1/4 cup Hopper batter in centre of pan and swirl around cover and cook for 3 - 5 minutes | Loosen Hopper with knife and serve. | Pears as marmalade - a very simple pear jam recipe! | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Spinach and mushrooms pasta bake #mycookbook | Maw Maws Spaghetti Pie Casserole | Homemade pan pizza | Creamy Coconut Mushroom & Potato Curry (Vegan/Vegetarian)",,5 mins,https://cookpad.com/eng/recipes/7146787,2025-08-07T19:02:39.130216,500 g white rice | 750 ml thick coconut milk | 2 tb sugar | 2 tb yeast | 1 egg | 1 Wash the rice and soak the rice for 4 hours. Drain the rice. | 4 Heat Hopper pan and some oil. Add 1/4 cup Hopper batter in centre of pan and swirl around cover and cook for 3 - 5 minutes | 5 Loosen Hopper with knife and serve.
grilled frog hoppers,"4 Cleaned frog legs | 3 tbsp extra virgin olive oil | 1 1/2 tsp lemon pepper seasoning | 1 1/2 tsp crab boil seasoning | 2 Grill over medium high heat 8 to 10 minutes per side, eat while hot, enjoy!","Cleaned frog legs | tbsp extra virgin olive oil | 1/2 tsp lemon pepper seasoning | 1/2 tsp crab boil seasoning | Combine olive oil, lemon pepper and crab boil seasoning, pour over frog legs, evenly coat, marinate in fridge for at least 2 hours. | Grill over medium high heat 8 to 10 minutes per side, eat while hot, enjoy! | Pears as marmalade - a very simple pear jam recipe! | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Caramelized chicken breasts | Honey Sweet Chicken | Mango Tango Smoothie (Dairy Free) | Sam's Crockpot Beef Brisket with Homemade Bbq Sauce",,10 mins,https://cookpad.com/eng/recipes/365008,2025-08-07T19:02:42.893030,"4 Cleaned frog legs | 3 tbsp extra virgin olive oil | 1 1/2 tsp lemon pepper seasoning | 1 1/2 tsp crab boil seasoning | 2 Grill over medium high heat 8 to 10 minutes per side, eat while hot, enjoy!"
Sugar Hoppers,"1/2 cup butter, softened | 1 1/2 cup sugar | 1 egg | 3 tsp baking powder | 3 cup flour | 1/4 tsp salt | 3 tbsp unsweetened cocoa | 1/2 cup milk | 1/2 tsp vanilla | 1 cream together butter and sugar in large bowl | 2 add egg mix well | 3 mix dry ingredients together with butter mixture | 4 add cocoa mix well | 5 gradually add milk | 6 roll on floured surface to 1/8 inch thick | 7 cut with cookie cutter | 8 bake at 350°F for 15 minutes | 9 for ease in rolling and removing cut outs, chill dough for an hour.","/2 cup butter, softened | tsp baking powder | tbsp unsweetened cocoa | cream together butter and sugar in large bowl | add egg mix well | mix dry ingredients together with butter mixture | add cocoa mix well | gradually add milk | roll on floured surface to 1/8 inch thick | cut with cookie cutter | bake at 350°F for 15 minutes | for ease in rolling and removing cut outs, chill dough for an hour. | Pears as marmalade - a very simple pear jam recipe! | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan)",20,30 mins,https://cookpad.com/eng/recipes/338414,2025-08-07T19:02:47.454947,"0.03 cup butter, softened | 1/13 cup sugar | 0.05 egg | 2/13 tsp baking powder | 2/13 cup flour | 0.01 tsp salt | 2/13 tbsp unsweetened cocoa | 0.03 cup milk | 0.03 tsp vanilla | 0.05 cream together butter and sugar in large bowl | 1/10 add egg mix well | 2/13 mix dry ingredients together with butter mixture | 1/5 add cocoa mix well | 1/4 gradually add milk | 6 roll on floured surface to 0 inch thick | 5/14 cut with cookie cutter | 2/5 bake at 350°F for 15 minutes | 5/11 for ease in rolling and removing cut outs, chill dough for an hour."
String hopper/ Idiyappam,2 cups string hopper flour | 11/2 cups water | 1 tsp salt | 1 tsp oil | 7 Enjoy hot with a side of spicy kurma or sweetened coconut milk.,"cups string hopper flour | First, add the teaspoon of oil to the water and bring it to a rolling boil. Once the water starts to boil, turn off the flame. | In a separate mixing bowl, add the idiyappam flour, salt and mix well. Add about ¾ Cup of the hot water to the rice flour. Stir with a spatula. Now, continue to add the water little by little to the rice flour and mix well until a soft, smooth and non-sticky dough is formed. | Once you are able to handle the dough by hand, knead it nicely for 1-2 mins. Grease the inside portion of the idiyappam press. Grease your palm with oil, take a portion of the dough, smoothen it out in your palm and fill it in the press. Similarly, grease the steamer plate. Gently press the idiyappam dough in a circular motion onto the steamer plate, as shown in the pic. | Steam the idiyappam for about 5 mins, until cooked through. Let the idiyapam to cool down a bit, before gently removing from the steamer plate and transferring to a serving plate. | Enjoy hot with a side of spicy kurma or sweetened coconut milk. | Pears as marmalade - a very simple pear jam recipe! | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Potatoes, au gratin ￼ | Gringos Charro Beans 🫘 | California Farm Lamb Biryani | California Farm Light Mango Margeritas",4,30 mins,https://cookpad.com/eng/recipes/23842945,2025-08-07T19:02:51.327875,1/2 cups string hopper flour | 1 3/8 cups water | 1/4 tsp salt | 1/4 tsp oil | 7 Enjoy hot with a side of spicy kurma or sweetened coconut milk.
Beetroot String Hoppers,"1 cup rice flour (roasted) | 1 beetroot | 1 tbsp ghee/oil | 1 tbsp oil | 1/2 tsp udad dal | 1/2 tsp chana dal | 1 tsp mustard seeds | 1 tsp sesame seeds | 2 finely chopped green chillies | 1 tsp finely chopped ginger | 1 sprig curry leaves | 1 Wash, peel and chop beetroot. Add one and 1/4 cup water and blend it well. If needs pass through sieve and strain it. | 2 Add beetroot juice, ghee and salt in one pan and let it boil. | 6 Now place this plate in steamer and steam cook it for 10-15 minutes. | 8 Serve hot. | 7 up Pound cake","cup rice flour (roasted) | /2 tsp chana dal | tsp mustard seeds | tsp sesame seeds | finely chopped green chillies | tsp finely chopped ginger | sprig curry leaves | Wash, peel and chop beetroot. Add one and 1/4 cup water and blend it well. If needs pass through sieve and strain it. | Add beetroot juice, ghee and salt in one pan and let it boil. | Once it starts boiling, slow down the flame and add rice flour little by little, while stirring continuously. | Stir continuously till dough like mass is formed. Turn off the heat, cover and rest it for 5 minutes. | After 5 minutes, with wet hands, knead the dough till it becomes smooth. Be careful, dough will be very hot. Then grease the extruder, set sev plate and fill it with prepared dough. In a greased plate prepare string hoppers by moving extruder. | Now place this plate in steamer and steam cook it for 10-15 minutes. | For tempering, heat oil and prepare by all tempering ingredients and pour it over string hoppers. | Pears as marmalade - a very simple pear jam recipe!",4,30 mins,https://cookpad.com/eng/recipes/17217457,2025-08-07T19:02:55.080414,"1/4 cup rice flour (roasted) | 1/4 beetroot | 1/4 tbsp ghee/oil | 1/4 tbsp oil | 1/8 tsp udad dal | 1/8 tsp chana dal | 1/4 tsp mustard seeds | 1/4 tsp sesame seeds | 1/2 finely chopped green chillies | 1/4 tsp finely chopped ginger | 1/4 sprig curry leaves | 1 Wash, peel and chop beetroot. Add one and 1/4 cup water and blend it well. If needs pass through sieve and strain it. | 1/2 Add beetroot juice, ghee and salt in one pan and let it boil. | 1 1/2 Now place this plate in steamer and steam cook it for 10-15 minutes. | 8 Serve hot. | 1 3/4 up Pound cake"
Stuffed Sweet Idiyappam (Sweet String Hoppers),"1 1/2 cup Rice Flour | 2 cups Water (For Boiling) | 1 tsp Ghee | 1 cup Freshly Grated Coconut | 1/2 cup Crushed Jaggery (Or more, as per desired sweetness) | 1 tsp Cardamom Flavoring Substance or 1/2 tsp Cardamom Powder | 2 Keep the measured rice flour ready. | 10 Transfer it into a serving plate. Serve it as a snack or for breakfast.","1/2 cup Rice Flour | cups Water (For Boiling) | For the Coconut-Jaggery Filling: | cup Freshly Grated Coconut | /2 cup Crushed Jaggery (Or more, as per desired sweetness) | tsp Cardamom Flavoring Substance or 1/2 tsp Cardamom Powder | First step is to prepare the coconut-jaggery filling. In a mixing bowl, add the freshly grated coconut, crushed/grated jaggery, salt and cardamom flavoring substance or cardamom powder. Mix it well and set it aside. | Keep the measured rice flour ready. | In a kadai add water, salt and ghee. When the water starts boiling, add in the rice flour. Stir quickly till all the water is absorbed. Switch off the flame. Cover and let it rest for few minutes. Transfer it to a bowl. When it cools down a bit, wet your palm with water and knead it. Add little water, if required. Add little ghee and knead till the dough becomes soft. Meanwhile, add water in rice cooker/steamer and let it reach boiling point. | Take idiyappam maker. Brush the inside of the idiyappam maker with oil/ghee. Place the dough inside and start making idiyappam on a silicon mould/butter paper/banana leaves. Place a generous amount of the coconut-jaggery filling over the idiyappam. Again start making idiyappam over the filling. | Place the mould in the rice cooker/steamer. Close the lid and allow it to cook for 18-20 minutes. Remove the mould from the rice cooker/steamer and let it rest for few minutes, before serving. | Alternatively, you can wet your palm and pinch a portion of the rice dough and form it into a ball. Press and form it into a pocket shape. Add a tablespoon of the coconut-jaggery filling. Bring the ends together and form in desired shape. Place it in a silicon mould. | Place the mould in the rice cooker/steamer and steam for 18-20 minutes. Remove the mould from the rice cooker/steamer and let it rest for few minutes, before serving. | Transfer it into a serving plate. Serve it as a snack or for breakfast. | Stuffed Sweet Idiyappam is ready to serve. Enjoy it as a dessert or as a snack or for breakfast.",,20 mins,https://cookpad.com/eng/recipes/17094307,2025-08-07T19:02:58.640942,"1 1/2 cup Rice Flour | 2 cups Water (For Boiling) | 1 tsp Ghee | 1 cup Freshly Grated Coconut | 1/2 cup Crushed Jaggery (Or more, as per desired sweetness) | 1 tsp Cardamom Flavoring Substance or 1/2 tsp Cardamom Powder | 2 Keep the measured rice flour ready. | 10 Transfer it into a serving plate. Serve it as a snack or for breakfast."
String hoppers with chicken curry,"2 big onions roughly chopped | 3 tomatoes roughly chopped | 2 green chillies | 4 tbsp ginger garlic paste | 1 mace | 1 star anise | 4 cloves | 2 inch cinnamon | 2 cardamoms | 8 tbsp fennel powder | 6 tbsp coriander powder | 1 tsp turmeric powder | 3 tbsp chilli powder | 1 tsp Fresh Coriander leaves | 1 tsp mint leaves | 4 tbsp oil | 4 tbsp coconut oil | 1 kg rice flour | 1 tbsp salt | 1 In a kadai add 4 tbsp of oil add in the whole spices and onions, when golden brown add in tomatoes, green chillies and ginger garlic paste.saute well.now allow the mixture to cool","big onions roughly chopped | tomatoes roughly chopped | tbsp ginger garlic paste | tbsp fennel powder | tbsp coriander powder | tsp turmeric powder | tbsp chilli powder | tsp Fresh Coriander leaves | tbsp coconut oil | as needed Hot boiling water | In a kadai add 4 tbsp of oil add in the whole spices and onions, when golden brown add in tomatoes, green chillies and ginger garlic paste.saute well.now allow the mixture to cool | Blend everything and add to the same kadai, now add in all the masalas and saute till the oil comes out | Check for spicy, add in the chicken, coriander and mint leaves, mix well check for salt,add enough water and close the lid.cook till the chicken is tender. | In a sauce pan boil water add in salt about 1 tbsp for 1 kg rice flour. in a mixing bowl, add in the rice flour and pour hot boiling water till the level of the flour, don't mix, if the water get absorbed add in more hot boiling water, until the flour gets fully wet.add little by little water, | After 5 or 7 minutes mix the flour with a wooden spatula, mix well, now spoon in the flour into a string hopper maker and press into the sting hopper plate and place the stand in a steamer.",4-6,7 mins,https://cookpad.com/eng/recipes/13963394,2025-08-07T19:03:03.513895,"1/2 big onions roughly chopped | 3/4 tomatoes roughly chopped | 1/2 green chillies | 1 tbsp ginger garlic paste | 1/4 mace | 1/4 star anise | 1 cloves | 1/2 inch cinnamon | 1/2 cardamoms | 2 tbsp fennel powder | 1 1/2 tbsp coriander powder | 1/4 tsp turmeric powder | 3/4 tbsp chilli powder | 1/4 tsp Fresh Coriander leaves | 1/4 tsp mint leaves | 1 tbsp oil | 1 tbsp coconut oil | 1/4 kg rice flour | 1/4 tbsp salt | 1 In a kadai add 4 tbsp of oil add in the whole spices and onions, when golden brown add in tomatoes, green chillies and ginger garlic paste.saute well.now allow the mixture to cool"
Stuffed idiyappam nool puttu string hopper,2 cup rice flour | 2 1/2 cup water | 3 tsp Oil | 2 onions finely chopped | 1/2 tsp ginger chopped | 1/2 tsp garlic chopped | 1 tomato chopped | 2 green chillies | 1 1/4 tsp coriander powder | 1/4 tsp turmeric powder | 1/2 tsp red chilli powder | 2 tsp oil | 1/4 tsp garam masala | 3 eggs boiled | 1 Firstly remove shells of eggs and cut eggs in leanght wise using string and keep aside. | 3 Then add masala powders and curry leaves.Cook till aromatic. | 4 Then add tomato till tomatoes are smashed well.Check salt.Our gravy is ready. | 5 In a pan roast rice flour for 2 minutes and keep aside for cooling. | 8 Knead the mixture for 5 minutes. | 10 Close the cover of chakki.Also cover the rest of dough with cloth.,"onions finely chopped | /2 tsp ginger chopped | /2 tsp garlic chopped | 1/4 tsp coriander powder | /4 tsp turmeric powder | /2 tsp red chilli powder | /4 tsp garam masala | Firstly remove shells of eggs and cut eggs in leanght wise using string and keep aside. | In a pan add oil.When it becomes hot add onion,garlic,chilli,ginger chopped.Saute till onions are cooked well | Then add masala powders and curry leaves.Cook till aromatic. | Then add tomato till tomatoes are smashed well.Check salt.Our gravy is ready. | In a pan roast rice flour for 2 minutes and keep aside for cooling. | In a pan boil water with oil at this stage either you can pour this to rice flour and mix them using spatula or just add rice flour to boiling water on stove and combine them.Both works well. | Keep this aside for 5 minutes.I had added water to flour.If making other method stir in between till dough is formed and switch off flame.This should be done in low flame. | Knead the mixture for 5 minutes.",6,40 mins,https://cookpad.com/eng/recipes/13597623,2025-08-07T19:03:07.833741,1/3 cup rice flour | 5/12 cup water | 1/2 tsp Oil | 1/3 onions finely chopped | 1/12 tsp ginger chopped | 1/12 tsp garlic chopped | 1/6 tomato chopped | 1/3 green chillies | 3/14 tsp coriander powder | 0.04 tsp turmeric powder | 1/12 tsp red chilli powder | 1/3 tsp oil | 0.04 tsp garam masala | 1/2 eggs boiled | 1/6 Firstly remove shells of eggs and cut eggs in leanght wise using string and keep aside. | 1/2 Then add masala powders and curry leaves.Cook till aromatic. | 2/3 Then add tomato till tomatoes are smashed well.Check salt.Our gravy is ready. | 5/6 In a pan roast rice flour for 2 minutes and keep aside for cooling. | 1 1/3 Knead the mixture for 5 minutes. | 1 2/3 Close the cover of chakki.Also cover the rest of dough with cloth.
