recipe_title,original_line,ingredient_name,quantity,unit
California Farm Cookpad Planning,4 pounds lard $8,lard,4.0,pounds
California Farm Cookpad Planning,"1 pound each dried peppers $6, dried garlic $5, baking soda $4",,1.0,pound
California Farm Cookpad Planning,"5 liter box wine concentrate $23, to make 36 bottles of wine",box wine concentrate,5.0,liter
California Farm Cookpad Planning,7 pounds malt $30 to make 50 bottles of beer,malt,7.0,pounds
California Farm Cookpad Planning,1 pound tea $5,tea,1.0,pound
California Farm Cookpad Planning,12 dozen eggs $60,eggs,12.0,dozen
California Farm Cookpad Planning,"10 pound each frozen chicken legs $5, pork shoulder$15, salmon $60, ground beef $40, soy beans to make tofu $5",,10.0,pound
California Farm Cookpad Planning,"1 each bought fresh weekly, lettuce $2, cauliflower $2, cabbage $2, zuchini $1, cucumber 50 cents,",,1.0,each
California Farm Cookpad Planning,"2 each bought fresh weekly, Bananas $1, avocados $1, apples $2, oranges $2",,2.0,each
Idliappam (hoppers),6 cups Boiled Water,water,6.0,cups
Hoppers,2 tb yeast,yeast,2.0,tb
grilled frog hoppers,4 Cleaned frog legs,frog legs,4.0,cleaned
grilled frog hoppers,1 1/2 tsp crab boil seasoning,1/2 tsp crab boil seasoning,1.0,piece
Sugar Hoppers,3 tbsp unsweetened cocoa,unsweetened cocoa,3.0,tbsp
Sugar Hoppers,1/2 tsp vanilla,vanilla,0.5,tsp
Sugar Hoppers,6 roll on floured surface to 1/8 inch thick,on floured surface to 1/8 inch thick,6.0,roll
Sugar Hoppers,7 cut with cookie cutter,with cookie cutter,7.0,cut
Sugar Hoppers,8 bake at 350°F for 15 minutes,at 350°f,8.0,bake
String hopper/ Idiyappam,11/2 cups water,water,5.5,cups
Beetroot String Hoppers,1 tbsp ghee/oil,ghee/oil,1.0,tbsp
Beetroot String Hoppers,1/2 tsp udad dal,udad dal,0.5,tsp
Beetroot String Hoppers,1/2 tsp chana dal,chana dal,0.5,tsp
Beetroot String Hoppers,1 tsp mustard seeds,mustard seeds,1.0,tsp
Beetroot String Hoppers,1 tsp sesame seeds,sesame seeds,1.0,tsp
Beetroot String Hoppers,1 tsp finely chopped ginger,ginger,1.0,tsp
Beetroot String Hoppers,8 Serve hot.,hot.,8.0,serve
Beetroot String Hoppers,7 up Pound cake,pound cake,7.0,up
Stuffed Sweet Idiyappam (Sweet String Hoppers),2 cups Water (For Boiling),water,2.0,cups
Stuffed Sweet Idiyappam (Sweet String Hoppers),1 tsp Ghee,ghee,1.0,tsp
Stuffed Sweet Idiyappam (Sweet String Hoppers),10 Transfer it into a serving plate. Serve it as a snack or for breakfast.,it into a serving plate. serve it as a snack or,10.0,transfer
String hoppers with chicken curry,3 tomatoes roughly chopped,,3.0,tomatoes
String hoppers with chicken curry,1 mace,mace,1.0,piece
String hoppers with chicken curry,1 star anise,anise,1.0,star
String hoppers with chicken curry,4 cloves,cloves,4.0,piece
String hoppers with chicken curry,2 inch cinnamon,cinnamon,2.0,inch
String hoppers with chicken curry,2 cardamoms,cardamoms,2.0,piece
Stuffed idiyappam nool puttu string hopper,2 1/2 cup water,1/2 cup water,2.0,piece
Stuffed idiyappam nool puttu string hopper,2 onions finely chopped,,2.0,onions
Stuffed idiyappam nool puttu string hopper,1/2 tsp ginger chopped,ginger,0.5,tsp
Stuffed idiyappam nool puttu string hopper,1 tomato chopped,,1.0,tomato
Stuffed idiyappam nool puttu string hopper,1/4 tsp garam masala,garam masala,0.25,tsp
Stuffed idiyappam nool puttu string hopper,3 eggs boiled,,3.0,eggs
Idiyappam (String Hoppers),1-1/4 cup water,1-1/4 cup water,1.0,piece
Idiyappam (String Hoppers),8 Steam it for 10-12 minutes.,it,8.0,steam
Idiyappam (String Hoppers),9 Serve hot.,hot.,9.0,serve
Rice Noodles/ String Hoppers/Santhagai,2 cups idli rice,idli rice,2.0,cups
String hoppers,4 Place this moulds in a pan which is filled with steaming water.,this moulds in a pan which is filled with steaming water.,4.0,place
Kerala style idiyappam /string hoppers,1 cup rice flour/chawal ka aata,rice flour/chawal ka aata,1.0,cup
Kerala style idiyappam /string hoppers,1 1/4 th cup water,1/4 th cup water,1.0,piece
Kerala style idiyappam /string hoppers,8 Once done remove on plate & allow it to cool in room temperature.,done remove on plate & allow it to cool in room temperature.,8.0,once
Idiyappam (String Hopper),2 cups Water,water,2.0,cups
Palappam / Kerala Style Lace Hoppers,1 cup Raw rice soaked overnight or for 4-5 hours,rice,1.0,cup
Palappam / Kerala Style Lace Hoppers,1 cup Boiled cooked rice,rice,1.0,cup
Palappam / Kerala Style Lace Hoppers,1/4 tsp Instant yeast,instant yeast,0.25,tsp
Palappam / Kerala Style Lace Hoppers,1-1/2 cups Warm water,1-1/2 cups warm water,1.0,piece
Mutton string hopper biriyani,10 String hoppers (idiyapam),hoppers idiyapam,10.0,string
Mutton string hopper biriyani,1 tbsp Briyani masala,briyani masala,1.0,tbsp
Mutton string hopper biriyani,1 tsp Garam masala,garam masala,1.0,tsp
Idiyappam. Rice spring hoppers,1 cup water,water,1.0,cup
Idiyappam. Rice spring hoppers,5 Make clyndrical balls.,clyndrical balls.,5.0,make
Idiyappam. Rice spring hoppers,7 Steam cook for 5 mins.Serve with coconut chutney or coconut milk..,cook,7.0,steam
Idiyappam Upma (String Hoppers - South Indian Snack),"3 leftover idiyappam balls, shredded",idiyappam balls shredded,3.0,leftover
Idiyappam Upma (String Hoppers - South Indian Snack),1 tsp. mustard seeds,tsp. mustard seeds,1.0,piece
Idiyappam Upma (String Hoppers - South Indian Snack),1 cup frozen mixed veggies,mixed veggies,1.0,cup
Idiyappam Upma (String Hoppers - South Indian Snack),2-3 tbsp. fried peanuts,2-3 tbsp. fried peanuts,1.0,piece
Colourful Stringhoppers with Crab stew,2 cups Water + 3/4 cup,water + 3/4 cup,2.0,cups
Colourful Stringhoppers with Crab stew,1/4 tsp turmeric,turmeric,0.25,tsp
Colourful Stringhoppers with Crab stew,1/2 cup tamarind juice,tamarind juice,0.5,cup
Colourful Stringhoppers with Crab stew,1 tsp mustard seeds,mustard seeds,1.0,tsp
Colourful Stringhoppers with Crab stew,3 cups water,water,3.0,cups
Idiyappam Payasam,1 cup idiyappam (string hoppers),idiyappam string hoppers,1.0,cup
Idiyappam Payasam,1 tsp. rose water,tsp. rose water,1.0,piece
Idiyappam (Kerala Style String Hoppers),2 1/2 Cups Water Boiling,1/2 cups water boiling,2.0,piece
Rice Hoppers,2 Cups Raw rice,rice,2.0,cups
Rice Hoppers,4 Cups Water,water,4.0,cups
Rice Hoppers,1/2 Cup Rice Cooked,rice,0.5,cup
Rice Hoppers,1 Teaspoon Active Dried Yeast,active yeast,1.0,teaspoon
String hoppers / Idiyappam Delight,1 Capsicum chopped,,1.0,capsicum
String hoppers / Idiyappam Delight,1 Teaspoon soya sauce,soya sauce,1.0,teaspoon
String hoppers / Idiyappam Delight,1 First make scrambled egg.Set aside,make scrambled egg.set aside,1.0,first
String hoppers / Idiyappam Delight,2 Scramble string hoppers.,string hoppers.,2.0,scramble
