Name,Unit,Average Price,Min Price
Ash Plantain,1 kg.,236.67,100
Ash Pumpkin,1 kg.,262.86,120
Bandakka,1 kg.,294.33,130.01
Brinjal,1 kg.,520.34,320.01
Bitter Guard,1 kg.,552.14,320.01
Cucumber,1 kg.,197.67,90
Red Pumpkin,1 kg.,255.33,120
Snake Gourd,1 kg.,351.11,160.01
Gotukola,Bunch,55.63,25
Kankun,Bunch,75,50
Kathurumurunga,Bunch,86.56,60
Kohila Leaves,Bunch,88.25,60
Kohila Yams,1 kg.,303,200
Vetakolu,1 kg.,307.59,160.01
Green Chillies,1 kg.,804.83,600
Capsicum,1 kg.,780.33,560
Leeks,1 kg.,384,200.01
Limes,1 kg.,568.67,300.01
Coconut - Average,Each,186.83,150
Coconut ( Large ),Each,202,190
Coconut ( Medium),Each,185.54,160
Coconut ( small),Each,172.96,150
Betel Leaves ( Average ),100 leaves,445.66,200.01
Betel Leaves ( Medium),100 leaves,569.44,375.01
Betel Leaves ( Small),100 leaves,321.88,200
Arecanuts ( Average ),100 Nuts,1265,500
Arecanuts ( Medium ),100 Nuts,1490,1000
Arecanuts ( Small ),100 Nuts,1040,500
Potatoes - Local,1 Kg,394.64,350
Imported,1 Kg,206.21,150
Coconut Oil,750 ml,648.33,600.01
Mukunuwenna,Bunch,74.38,50
Nivithi,500g,139.76,76
Sarana,Bunch,107.27,80
Thampala,Bunch,116.67,80
Beans - Butter,1 kg.,750,560
Beans - Green,1 kg.,659.67,400.01
Long Beans,1 kg.,351.96,195
BeetRoot,1 kg.,384.14,240.01
Cabbagge Seed,1 kg.,411.67,240.01
Carrot,1 kg.,455.33,300.01
Drumstick,1 kg.,920.96,405
Knol Khol,1 kg.,336.8,200.01
Raddish,1 kg.,254.83,120
Tomatoe - No 1.,1 kg.,322.86,220.01
Dried Chillies - No 1.,1Kg.,840.26,650
Pepper - Powder,1Kg.,2924,2400
Garlic,1Kg.,601.15,480.01
Fennel Seed,1Kg.,1453.7,750
Mathe Seed,1Kg.,703.7,400
Gorakka,1Kg.,690.77,460.01
Salt,1Kg.Pkt.,215.94,160
Red Onions - Average,1Kg.,532.24,400.01
Imported,1kg.,142.59,120
Raw Red - ( Average ),1 Kg.,220.53,200
Raw Red - No 1.,1 Kg.,220.53,200
Raw White local,1 Kg.,221.43,210
Nadu - Red,1 Kg.,241.29,227
Nadu - White,1 Kg.,231.43,220
Samba - ( Average ),1 Kg.,250.84,238
Samba - No 1.,1 Kg.,243.35,238
Ponni Samba Imported,1 Kg.,258.33,240
Wheat Flour,1 Kg.,183.33,162
Mysore Dhall - ( Average ),1 Kg.,332.75,258
Mysore Dhall - No 1.(Large),1 Kg.,437.14,360
No 2.(Medium),1 Kg.,295.4,275
No 3.(Small),1 Kg.,265.71,258
Cowpea Whole - Average,1 Kg.,915.11,700
Green Gram - Average,1 Kg,836.31,700
Sugar,1Kg.,235.97,220
Fresh Fish -  Paraw,1Kg.,2705,2000
Mullet,1Kg.,2668.57,1800
Thalapath,1Kg.,2984.5,2300
Balaya,1Kg.,2020,2000
Kelewella,1Kg.,2303.16,1500
Mora,1Kg.,2047.5,1630
Salaya,1Kg.,722.11,500
Parati,1Kg.,1703.08,1100
Small Mullet,1Kg.,1603.33,800
Hurulla,1Kg.,1334,1120
Linna,1Kg.,1091.33,940
Prawns,1Kg.,2004.29,1600
Dried Fish - Katta,1 Kg.,2688,2200
Spratts,1 Kg.,1409.26,1200
Salaya - Average,1 Kg.,1566.67,1000
Beef,1Kg.,2700,2600
Mutton,1Kg.,3726.92,3200
Chicken - Fresh,1Kg.,1318.82,1230
Broiler,1Kg.,1138,1090
Pork,1Kg.,2466.67,2400
Egg - ( Average ),Each,34.69,30
Egg - Red,Each,35.88,31
White,Each,33.5,30
Tin Fish,425g.,508.48,380.01
Milk Powder- Imported,400g.,1100,1100
Milk Powder- Local,400g.,1050,1050
Infant Milk Powder,300g.,1500,1500
Sour Plantain,1 Kg.,163.93,100
Anamalu,1 Kg.,291.82,160
Kolikuttu,1 Kg.,315.56,200
Papaw,1 Kg.,206.67,120
Pineapple,1 Kg.,455,300.01
Bread,450g.,132,100
