title,description,author,published_date,prep_time,cooking_time,total_time,difficulty,servings,ingredients,instructions,tags,url,image_url
Sri Lankan Sweets and Treats for April New Year,"Sri Lankan Sweets and Treats for April New Year,Traditional Sri Lankan sweets recipes for Sinhala & Hindu New Year,April New Year recipes.",written byAmila Gamage Wickramarachchi,"December 6, 2012",,,,,,,"You can read more details about Sri Lankan April New Year in this post aboutSri Lankan food culture.; Sinhala New year starts with lot of traditions!; Now, we are waiting for the 2017 New Year! Celebrations will begin. For a day, the Majority of Sri Lankans will stop cooking at the same time. They will again start cooking again after few hours for the given auspicious time. This is the moment most of the Sri Lankans get united. It is the time for a family reunion.; Coconut scraping competition is a fun Sinhala New Year Game! 🙂; Do you like to read more about Sinhala New Year games? These traditional games make the celebrations memorable during the April New Year season.; Check this post aboutCoconut Scraping competitioninwhich ladies come into acontest!; Check this post aboutNew Year traditional games of Sri Lankawhich I shared in my travel blog.; Kotta pora (Another traditional game that involves fighting with a pillow) 🙂; And…yes, it is the time for traditional sweets and othertreats to come tothe dining table.; If you are getting ready to celebrate the New Year, here are recipes for Sri Lankan traditional sweets and other food which are must have on any Awurudu table. (New Year table)","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Sweets",https://foodcnr.com/sri-lankan-sweets-and-treats-for-april-new-year/,https://foodcnr.com/wp-content/uploads/2017/04/Sri-Lankan-New-year-Recipes.jpg
Red Kidney Beans Curry in Sri Lankan Style,"Red kidney beans curry in Sri Lankan Style, rajma masala using Sri Lankan spices and it is a healthy and spicy curry gravy in coconut milk,",written byAmila Gamage Wickramarachchi,"May 8, 2019",,,,,4,Remember to soak your beans at least 6-8 hours before cooking. Add a teaspoon of baking soda to your beans during the time you soak. This step will help to soften the beans.,Step 1: Pre-Preparation; Step 2: Preparation; Step 3: Preparation of other ingredients; Step 3: Cooking red kidney beans curry,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/red-kidney-beans-curry-sri-lankan/,https://foodcnr.com/wp-content/uploads/2021/09/Sri-Lankan-Red-kidney-beans-curry.jpg
Beetroot Carrot Mung Parippu Stir Fry,"Beetroot Carrot Mung Parippu stir fry,Instead of a Beetroot carrot Mung Parippu curry I am cooking it as a stirfry with moong dal.",written byAmila Gamage Wickramarachchi,"August 13, 2019",,,,,4,Asian-Style Fish Curries: Traditional Techniques and Modern Adaptations; 8 Best Sri Lankan Salad Recipes to add to your Meal; The Benefits of Mindful Eating; The Best Destinations in the World for Foodies to Visit; The Top Foods To Put On Your Barbeque For The Best Taste Here In Thailand,Step 1: Pre-Preparation; Step 2 : Preparation; Step 3: Cooking the moong dal stir fry with beet and carrot,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/beetroot-carrot-mung-parippu-stir-fry/,https://foodcnr.com/wp-content/uploads/2021/09/Beetroot-carrot-Mung-Parippu-stir-fry-1.jpg
6 Sri Lankan Food Recipes which are Easy to Cook,"Sri Lankan Food which are Easy to Cook,Sri Lankan recipes to try with easy steps,Sri Lankan food recipes including rice and curry",written byAmila Gamage Wickramarachchi,"December 9, 2017",,,,,,Asian-Style Fish Curries: Traditional Techniques and Modern Adaptations; 8 Best Sri Lankan Salad Recipes to add to your Meal; The Benefits of Mindful Eating; The Best Destinations in the World for Foodies to Visit; The Top Foods To Put On Your Barbeque For The Best Taste Here In Thailand,"If you enjoy cooking and if you like trying food recipes from different cuisines, then you must trySri Lankan recipestoo. With blends of spices and tastes of coconut cream most of the Sri Lankan foods are authentic and unique for this beautiful island of Indian Ocean.; Rice and curry are the staples of Sri Lanka; However, it is always wise to try easy recipes before you start trying some difficult food which needs lot of ingredients and time. Easy to cook recipes are the go-to cookbooks for any busy individual; add in a foodie personality and you see cravings for easy-to-cook food from international cuisines.; Although I have shared many Sri Lankan recipes which you can try out at home, in this post I want to highlight some of the Sri Lankan food recipes which are easy to cook.; Here are some food suggestions on how to surprise your taste buds with easy to cook Sri Lankan Recipes! I hope you will try some of these Sri Lankan recipe ideas.","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Recipe Collections",https://foodcnr.com/sri-lankan-food-recipes-easy-to-cook/,https://foodcnr.com/wp-content/uploads/2017/09/Sri-Lankan-Food.jpg
Sri Lankan Kiri Ala Curry (Taro Roots Curry),This Sri Lankan Kiri Ala Curry is damn delicious and well goes with plain rice.Also known as Taro Roots Curry is with many health benefits.,written byAmila Gamage Wickramarachchi,"October 5, 2011",,,,,4,Asian-Style Fish Curries: Traditional Techniques and Modern Adaptations; 8 Best Sri Lankan Salad Recipes to add to your Meal; The Benefits of Mindful Eating; The Best Destinations in the World for Foodies to Visit; The Top Foods To Put On Your Barbeque For The Best Taste Here In Thailand,"Peel the skin. Wash thoroughly.; Cut kiri ala into bite size pieces.; In a pan, place kiri ala pieces.; Add all ingredients above other than thick coconut milk.; Mix well and cook until kiri ala is boiled well.; Finally add thick coconut milk and mix well.; Simmer few minutes until coconut milk starts boiling.; At this point check salt and adjust if necessary.; Switch off the flame and keep the curry on the stove.; The hotness of the stove is good enough to thicken the curry.; It is ready to serve with plain rice.; Now it is your turn.Cook this Kiri Ala curry and let me know how it comes out! 🙂; CurryKiri AlaTaro","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/sri-lankan-kiri-ala-curry/,https://foodcnr.com/wp-content/uploads/2020/04/Sri-Lankan-Taro-Roots-Curry-1.jpg
Sri Lankan Mushroom Stir-Fry Recipe,This Spicy Sri Lankan Mushroom stir-fry is a simple delicious and spicy vegetarian dish.It is cooked with Oyster mushroom and called as Hathu in Sri Lanka.,written byAmila Gamage Wickramarachchi,"July 26, 2013",10 min,10 min,,,4,1noonionMedium sized; 3noGreen chillies; 1pieceRampe (Pandan leaf); 1/4tspmustard seeds; 1/4tspturmeric powder; 1tspchili flakes; 1piececinnamon stick; 1tbspCooking oil to fry,Wash mushroom and drain water.Squeeze the water from mushroom.Then split mushroom in to slices lengthwise.Keep aside.Slice onion and Split green chilies lengthwise.Keep aside.,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/sri-lankan-mushroom-stir-fry/,https://foodcnr.com/wp-content/uploads/2020/02/Oyster-Mushroom-stir-fry.jpg
Sausage Stir fry – Sri Lankan style Recipe,Here is how to cook Sri Lankan style sausage stir fry.If you look for sausage recipes I have shared some easy and quick recipes to cook in a minute.,written byAmila Gamage Wickramarachchi,"October 7, 2012",,,,,4,You have to be quick when you fry sausages.Sausages are easily get burnt.,Step 1: Preparation; Step 2: Cooking,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Chicken Recipes",https://foodcnr.com/sausage-stir-fry-sri-lankan/,https://foodcnr.com/wp-content/uploads/2019/12/Sausage-stir-fry.jpg
Kurignan Kola Sambolaya : Sri Lankan Edible Leaves,"Kurignan kola sambolaya recipe.Also called as Ceylon cow plant, but it’s botanical name is Gymnema lactiferum.A diabetic friendly Sri lankan recipe",written byAmila Gamage Wickramarachchi,"January 8, 2012",,,,,4,Red Coconut Chutney for Dosa and Idli; Kurignan Kola Sambolaya : Sri Lankan Edible Leaves; Fenugreek Leaves Salad (Uluhal Kola/Methi Leaves); Passion Fruit Leaves Sambola (Raw Passion Fruit Leaves Salad); Sri Lankan Recipe: Kiri Aguna Kola Sambolaya,Step 1:; Step 2:,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Sambola & Chutney Recipes",https://foodcnr.com/kurignan-kola-sambolaya/,https://foodcnr.com/wp-content/uploads/2019/11/Kurignan-kola-sambola-recipe.jpg
Karawala Thel Dala (Sri Lankan Dried Fish Fry),Karawala thel dala (Sri Lankan dried fish fry)-In Sinhala we call this as Karawala Baduma or Karawala thel dala is a salted fish stir-fry,written byAmila Gamage Wickramarachchi,"January 9, 2017",,,,,,Asian-Style Fish Curries: Traditional Techniques and Modern Adaptations; 8 Best Sri Lankan Salad Recipes to add to your Meal; The Benefits of Mindful Eating; The Best Destinations in the World for Foodies to Visit; The Top Foods To Put On Your Barbeque For The Best Taste Here In Thailand,Step 1: Preparation; Step 2: Cooking,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Fish Recipes",https://foodcnr.com/karawala-thel-dala-sri-lankan-dried-fish-fry/,https://foodcnr.com/wp-content/uploads/2019/11/Sri-Lankan-Karawala-Baduma.jpg
Sri Lankan Style Arugula Sambola (Arugula Salad),This is a Sri Lankan Style Arugula Sambola or Arugula Salad which you can prepare with raw leaves.It is crunchy and healthy way to add arugula to your meal.,written byAmila Gamage Wickramarachchi,"September 22, 2011",,,,,4,Asian-Style Fish Curries: Traditional Techniques and Modern Adaptations; 8 Best Sri Lankan Salad Recipes to add to your Meal; The Benefits of Mindful Eating; The Best Destinations in the World for Foodies to Visit; The Top Foods To Put On Your Barbeque For The Best Taste Here In Thailand,"Step
1:; Step
2:","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Salad Recipes",https://foodcnr.com/sri-lankan-arugula-sambola/,https://foodcnr.com/wp-content/uploads/2019/10/Sri-Lankan-Arugula-sambola.jpg
