title,description,author,published_date,prep_time,cooking_time,total_time,difficulty,servings,ingredients,instructions,tags,url,image_url
Sri Lankan Sweets and Treats for April New Year,"Sri Lankan Sweets and Treats for April New Year,Traditional Sri Lankan sweets recipes for Sinhala & Hindu New Year,April New Year recipes.",written byAmila Gamage Wickramarachchi,"December 6, 2012",,,,,,,,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Sweets",https://foodcnr.com/sri-lankan-sweets-and-treats-for-april-new-year/,https://foodcnr.com/wp-content/uploads/2017/04/Sri-Lankan-New-year-Recipes.jpg
Red Kidney Beans Curry in Sri Lankan Style,"Red kidney beans curry in Sri Lankan Style, rajma masala using Sri Lankan spices and it is a healthy and spicy curry gravy in coconut milk,",written byAmila Gamage Wickramarachchi,"May 8, 2019",,,,,4,,Step 1: Pre-Preparation; Step 2: Preparation; Step 3: Preparation of other ingredients; Step 3: Cooking red kidney beans curry,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/red-kidney-beans-curry-sri-lankan/,https://foodcnr.com/wp-content/uploads/2021/09/Sri-Lankan-Red-kidney-beans-curry.jpg
Beetroot Carrot Mung Parippu Stir Fry,"Beetroot Carrot Mung Parippu stir fry,Instead of a Beetroot carrot Mung Parippu curry I am cooking it as a stirfry with moong dal.",written byAmila Gamage Wickramarachchi,"August 13, 2019",,,,,4,,Step 1: Pre-Preparation; Step 2 : Preparation; Step 3: Cooking the moong dal stir fry with beet and carrot,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/beetroot-carrot-mung-parippu-stir-fry/,https://foodcnr.com/wp-content/uploads/2021/09/Beetroot-carrot-Mung-Parippu-stir-fry-1.jpg
6 Sri Lankan Food Recipes which are Easy to Cook,"Sri Lankan Food which are Easy to Cook,Sri Lankan recipes to try with easy steps,Sri Lankan food recipes including rice and curry",written byAmila Gamage Wickramarachchi,"December 9, 2017",,,,,,,,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Recipe Collections",https://foodcnr.com/sri-lankan-food-recipes-easy-to-cook/,https://foodcnr.com/wp-content/uploads/2017/09/Sri-Lankan-Food.jpg
Sri Lankan Kiri Ala Curry (Taro Roots Curry),This Sri Lankan Kiri Ala Curry is damn delicious and well goes with plain rice.Also known as Taro Roots Curry is with many health benefits.,written byAmila Gamage Wickramarachchi,"October 5, 2011",,,,,4,,,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/sri-lankan-kiri-ala-curry/,https://foodcnr.com/wp-content/uploads/2020/04/Sri-Lankan-Taro-Roots-Curry-1.jpg
Sri Lankan Mushroom Stir-Fry Recipe,This Spicy Sri Lankan Mushroom stir-fry is a simple delicious and spicy vegetarian dish.It is cooked with Oyster mushroom and called as Hathu in Sri Lanka.,written byAmila Gamage Wickramarachchi,"July 26, 2013",,,,,4,1noonionMedium sized; 3noGreen chillies; 1pieceRampe (Pandan leaf); 1/4tspmustard seeds; 1/4tspturmeric powder; 1tspchili flakes; 1piececinnamon stick; 1tbspCooking oil to fry,Wash mushroom and drain water.Squeeze the water from mushroom.Then split mushroom in to slices lengthwise.Keep aside.Slice onion and Split green chilies lengthwise.Keep aside.,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/sri-lankan-mushroom-stir-fry/,https://foodcnr.com/wp-content/uploads/2020/02/Oyster-Mushroom-stir-fry.jpg
Sausage Stir fry – Sri Lankan style Recipe,Here is how to cook Sri Lankan style sausage stir fry.If you look for sausage recipes I have shared some easy and quick recipes to cook in a minute.,written byAmila Gamage Wickramarachchi,"October 7, 2012",,,,,4,,Step 1: Preparation; Step 2: Cooking,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Chicken Recipes",https://foodcnr.com/sausage-stir-fry-sri-lankan/,https://foodcnr.com/wp-content/uploads/2019/12/Sausage-stir-fry.jpg
Kurignan Kola Sambolaya : Sri Lankan Edible Leaves,"Kurignan kola sambolaya recipe.Also called as Ceylon cow plant, but it’s botanical name is Gymnema lactiferum.A diabetic friendly Sri lankan recipe",written byAmila Gamage Wickramarachchi,"January 8, 2012",,,,,4,,Step 1:; Step 2:,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Sambola & Chutney Recipes",https://foodcnr.com/kurignan-kola-sambolaya/,https://foodcnr.com/wp-content/uploads/2019/11/Kurignan-kola-sambola-recipe.jpg
Karawala Thel Dala (Sri Lankan Dried Fish Fry),Karawala thel dala (Sri Lankan dried fish fry)-In Sinhala we call this as Karawala Baduma or Karawala thel dala is a salted fish stir-fry,written byAmila Gamage Wickramarachchi,"January 9, 2017",,,,,,,Step 1: Preparation; Step 2: Cooking,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Fish Recipes",https://foodcnr.com/karawala-thel-dala-sri-lankan-dried-fish-fry/,https://foodcnr.com/wp-content/uploads/2019/11/Sri-Lankan-Karawala-Baduma.jpg
Sri Lankan Style Arugula Sambola (Arugula Salad),This is a Sri Lankan Style Arugula Sambola or Arugula Salad which you can prepare with raw leaves.It is crunchy and healthy way to add arugula to your meal.,written byAmila Gamage Wickramarachchi,"September 22, 2011",,,,,4,,"Step
1:; Step
2:","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Salad Recipes",https://foodcnr.com/sri-lankan-arugula-sambola/,https://foodcnr.com/wp-content/uploads/2019/10/Sri-Lankan-Arugula-sambola.jpg
