title,description,author,published_date,prep_time,cooking_time,total_time,difficulty,servings,ingredients,instructions,tags,url,image_url
Devilled Prawns in Sri Lankan Style,,written byAmila Gamage Wickramarachchi,"December 18, 2012",,,,,3,(For 1 serving dish/enough for 2-3 person)About 10-15 Prawns 2 medium size onions2 tspn ginger garlic paste2 green chilies1 tbspn red chili flakes (kali miris)1 bell pepper/or 3-4 banana peppers (Malu miris)3 tbspn tomato sauce1 tbspn soy sauce1 cup warm water1 tbspn corn flourCooking Oil 1 tbspn black pepperSalt as required.,"With all tips mentioned above, try this recipe for Devilled Prawns. Don’t forget to tell me how it came out for you if you try this recipe.Ingredients (For 1 serving dish/enough for 2-3 person)About 10-15 Prawns2 medium size onions2 tspn ginger garlic paste2 green chilies1 tbspn red chili flakes (kali miris)1 bell pepper/or 3-4 banana peppers (Malu miris)3 tbspn tomato sauce1 tbspn soy sauce1 cup warm water1 tbspn corn flourCooking Oil1 tbspn black pepperSalt as required.; MethodStep 1- Prepare Basic IngredientsClean, remove head and devein prawns. Remove the shell too.Slice onion, green chili and bell pepper or banana peppers into bite size pieces. Keep aside.Coarsely grind black pepper. Don’t grind till it becomes a powder. Instead, we need fresh coarse black pepper. Keep aside.Step 2- Prepare the SauceIn a separate bowl, mix tomato sauce, soy sauce and 2-3 tbspn warm water together. Add chili flakes to this mix. Also add fresh ground black pepper. Mix all well and prepare the sauce. Check the taste and adjust pepper, chili as required. Add a bit of salt. Careful with salt as we already used soy sauce. The taste should be a mix of bit sweet, tangy and spicy.Using another bowl,  mix 1 tbspn of corn flour with remaining warm water. Keep aside.Once the sauce is ready, we can start cooking.Step 3- Cook Devilled PrawnsIn a pan, heat 2- 3 teaspoons of oil. When oil is hot, add prawns and fry well until it is cooked and pink in colour. Then add ginger garlic paste. Once it starts to emit aroma, add onion, chili and bell pepper. Mix well.Then add the sauce mixture and mix well. Mix until all combine well.Once all mixed well, add corn flour mixture. Simmer till you get the desired sauce/gravy thickness.Add some salt & pepper if required.Serve it hot as a side or as an appetizer!Garnish with some spring onions.(optional)","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Seafood Recipes",https://foodcnr.com/devilled-prawns-in-sri-lankan-style/,https://foodcnr.com/wp-content/uploads/2014/10/Devilled-Prawns-Sri-Lankan-Style.jpg
Thumba Kariwila Stir-fry / Spiny Gourd,"Thumba Kariwila Stir-fry / Spiny Gourd,Thumba Kariwila is a type of bitter gourd which has numerous health benefits. Also known as Kantola",written byAmila Gamage Wickramarachchi,"August 23, 2011",,,,,2-3,(for 2-3 servings) 200g Spiny Gourd (Thumba Kariwila) 1 medium Onion 1 medium size tomato ½ tspn mustard seeds 1 tspn curry powder ½ tspn turmeric powder 1 tspn Chili powder ¼ tspn fenugreek seeds 1-2 sprigs Curry Leaf ½ tspn cumin seeds Salt to taste Cooking  Oil,"Below is the video on how to cook spiny gourd in Sri Lankan style.; 13 comments1FacebookTwitterGoogle +Pinterest; Amila Gamage WickramarachchiAmila Gamage is the blogger behind Food Corner. She shares her cooking adventures in this blog. Apart from recipes, you will also find travel, health and kitchen inspirations in this blog. She started writing this blog in 2011 and still continuing.; previous postCOGINT-Coriander & Ginger Tea from Durst Enterprisenext postBenefits of Awarding Employees with Engraved Plaques; Related PostsHalape / HalapaAugust 23, 2011Sri Lankan Pol Roti (Coconut Roti/Sri Lankan Flat...October 29, 20116 Sri Lankan Food Recipes which are Easy...March 4, 2021Sri Lankan Devilled Chicken Recipe in Chef Duminda’s...October 16, 2012Wambatu Curry/stew (Brinjal Curry/stew)October 24, 2011Sri Lankan Dhal Curry with Green Chilli-Parippu CurryNovember 2, 2015Mild Spicy Sri Lankan Cabbage Curry with PotatoesSeptember 1, 2013Sri Lankan Southern Style Fish Ambul ThiyalMay 14, 2018Chickpea Recipes : Boiled and Tempered Chickpeas (Thambapu...July 15, 2018Sri Lankan Style Small Fish CurryJanuary 11, 2015; 13 commentsbeena stephenSeptember 23, 2014 - 5:25 amDelicious and healthyReplyRafeeda ARSeptember 23, 2014 - 8:07 amlooks really interesting…ReplySona - quick picks/pick quicksSeptember 23, 2014 - 11:51 amwow..interesting !!ReplyNavaneetham KrishnanSeptember 23, 2014 - 2:14 pmNot sure if I can get the same type of gourd over but there’s others similar to it. I agree on its benefits and a dish fit perfect to keep my other half’s diabetic in control.ReplyAmila WickramarachchiSeptember 26, 2014 - 4:58 pmEven in Sri Lanka,we find a smaller size spiny gourd.This is a good vegetable even for a different taste…ReplyKurinjiSeptember 23, 2014 - 7:01 amyummy fry…ReplyShashi CharlesSeptember 25, 2014 - 2:44 pmI love all these veggies you feature that are good at lowering blood sugar levels – this gourd curry looks mouthwatering! I just got some curry leaves – now I need to find me some of this gourd!ReplyAmila WickramarachchiSeptember 26, 2014 - 4:59 pmGlad you like these recipes.Sure you can eat more cakes while trying these recipes… 🙂ReplyGloriaOctober 3, 2014 - 6:09 amLooks too good.. We too make it similar..ReplyNihalJanuary 8, 2018 - 4:55 amThank you very much it is very yummy!ReplyAmila Gamage WickramarachchiJanuary 12, 2018 - 9:42 amThanks for sharing your experience.I am glad you could cook a yummy dish!ReplyLalithMay 15, 2021 - 7:27 pmThanks a lot. It came nicely and everybody enjoyed in our family. A great recipe.We did some changes, hope it may be usefull to others as well.We removed the seeds and boiled them with a pinch of salt instead of frying.In place of tomtoes we used tamarind extract.We used this recipe to cook bitter gourd and it was very tasty.Thanks again,Lalith W (Sri Lanka)ReplyAmila Gamage WickramarachchiMay 20, 2021 - 3:08 pmHi Lalith,Thanks for sharing this experience.I am glad that you’ve shared the changes you’ve done.I will try this way next time I cook Thumba Kariwila.ReplyLeave a CommentCancel ReplyRecipe RatingRecipe Rating","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/thumba-kariwila-stir-fry-spiny-gourd/,https://foodcnr.com/wp-content/uploads/2014/09/Spiny-gourd-stir-fry.jpg
Thebu Kola Sambola- A Sri Lankan Diabetic Friendly Recipe,Thebu Kola also known as Costus Speciosus is commonly found in most areas of Sri Lanka.Here is how to make Thebu Kola Sambola,written byAmila Gamage Wickramarachchi,"July 26, 2013",,,,,3,(for 2-3 servings)Handful of  Thebu leaves(Costus speciosus)1 cup fresh grated coconut2-3 small red onion/shallots sliced2 green chili slicedSalt to taste1 tbspn lime juice,"In a bowl, mix sliced Thebu leaves, onion, green chili,coconut and salt together with lime juice.Thebu kola sambola is ready to serve.Tip:Mix all ingredients just before serving. Then the sambola will be fresh and tasty.; Aguna Kola Sambola; Uluhal kola sambola; Passion Fruit kola sambolaya; If you try this recipe, please leave me a comment. I’d love to know your thoughts on this recipe.Have you tried this leaves before or still treat as a beautiful plant to beautify home?","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Salad Recipes",https://foodcnr.com/thebu-kola-sambola-a-sri-lankan-diabetic-friendly-recipe/,https://foodcnr.com/wp-content/uploads/2014/09/Thebu-Kola-Sambola-Recipe.jpg
Chicken Dry Curry in Sri Lankan Style,,written byAmila Gamage Wickramarachchi,"May 14, 2018",,,,,,,,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Air Fryer recipes",https://foodcnr.com/chicken-dry-curry-in-sri-lankan-style/,https://foodcnr.com/wp-content/uploads/2014/09/Dry-Chicken-Curry-3.jpg
Carrot Mallung (Carrot with Grated Coconut),"Carrot Mallung (Carrot with Grated Coconut), Sri Lankan carrot recipes,sri lankan recipes blog,how to cook carrot in Sri Lankan food.",written byAmila Gamage Wickramarachchi,"January 27, 2014",,,,,2-3,(for 2-3 servings)2 medium sized Carrot ½ medium sized onion sliced 1 sprig curry leaves ½ tspn mustard seeds 3-4 dried red chilies 1-2 green chilies ¼ tsp turmeric powder 1/2 tsp fenugreek seeds 1 tspn red chili powder ½ tspn raw curry powder 1” Piece of cinnamon ½ cup fresh grated coconut 2 tbspn cooking oil Salt to taste,"First, wash remove the skin and grate the carrot. Instead of grating, you can also slice carrot into small thin pieces.Grind fresh coconut into a fine paste together with green chili, red chili, curry powder and turmeric powder. Keep aside.Now we are ready to cook carrot.Heat oil in a pan.When oil is hot, add mustard seeds. When mustard seeds start to pop out, add onion, red  dried chili and curry leaves.Stir fry till onion become tender and start emitting the aroma.At this stage, add grated carrot to this and mix well.Cover and cook for 2-3 minutes.Then add fresh coconut paste which we kept aside together with fenugreek seeds and cinnamon piece.Mix well.Cover and cook for another 4-5 minutes till carrot is fully cooked.Add salt as per taste. Mix well.Carrot mallung is ready to serve with plain rice.; carrotCarrot MallungmallumMallungSri Lankan Recipes","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/carrot-mallung-carrot-with-grated-coconut/,https://foodcnr.com/wp-content/uploads/2014/08/Sri-Lankan-Carrot-Recipes.jpg
Sri Lankan Chinese Rolls,,written byAmila Gamage Wickramarachchi,"December 25, 2011",,,,,4-5,For the filling1 can of tuna (drained water/sauce)        2 medium sized Potatoes   1 onion sliced2-3 Green Chilies sliced1 sprig Curry Leaves ½ tsp. mustard seeds1 tsp. Red chilli powder      ¼ tsp. Turmeric powder      1 tsp. freshly coarse Black pepper powder          Salt as per taste1-2 tbsp. cooking oilPancake /wrap1/2 cup all-purpose flour1 egg – beaten¼ tsp. baking powderA Pinch of turmeric (optional)salt to taste1/2 cup thick coconut milkFor Crumbing 200g Bread Crumbs 1 Egg½ cup all purpose flour,"Step 1: Make the pancake Batter; As a wrap, you can use store bought spring rolls wraps.; Here I make them from scratch. Traditionally the wrapping for Chinese rolls are pan cakes.; Below is how to make pancake wraps.; First, sieve all-purpose flour & baking powder together into a bowl.; Add beaten egg into this & whisk well.; Gradually add milk and make the pan cake batter. Avoid any lumps.; Adjust salt & add a pinch of turmeric.; Whisk well again. Keep the batter aside for about 10-15 minutes.; Step 2: Make the filling:; First boil potatoes; Peel the skin and roughly cut into cubes.; Drain the can of tuna.; Heat oil in a frying pan,when oil is hot add mustard seeds.; When mustard seeds start to pop out, add onions, green chili and curry leaves.; Stir until the onions are tender and start to emit aroma.; Then add tuna and cubed potatoes.; Allow to cook for a few minutes.; Then add salt, crushed pepper, chili powder, turmeric powder and stir until all are well mixed.; Cook another few minutes and turn off heat.; Keep this mix aside and allow cooling.; Filling for Chinese Rolls is ready.; Step 3: Arrange the bread crumbs and batter; In a bowl, beat the egg. Keep aside. This is needed to cover the rolls.; In a plate,spread some plain flour.Keep aside.; In another plate, spread bread crumbs. This is to cover the rolls before deep frying.Keep aside.; Well,now we have prepared all the required basic ingredients and things.; Now it is time to make the Chinese rolls.; Here are final steps on how to make Chinese Rolls. (The Sri Lankan style short eat); Step 1: Make the Pancakes:; Strain the pancake batter before making the pancakes.; This is to avoid any lumps. This step will give you smooth pancakes.; Heat a nonstick pan over medium heat for about 1 minute.; Then coat it with a drop of cooking oil.; Once it is hot, spoon some batter on it.; Swirl the pan to even distribute the batter & to make a round shape.; Cook until lightly brown.; Remove to a plate.; Make the Pancakes for Sri Lankan Rolls; Step 2: Make the rolls; This is an important tip.; To make best Chinese rolls without any problem don’t allow your pancakes to become cool once prepared. That means, you have to cook a pan cake, spread the filling on it, make the roll ready to fill before proceeding to the next pan cake.; However, if you are quick enough, make 4-5 pancakes and spread the filling on them.; Make rolls ready to fry. Then proceed to the next pancake batch.; I used the 2ndmethod, Ah! that means I am quick!; Now, back to preparing the rolls.; Once a pancake is ready, immediately spread about a spoon of filling onto cooked pancake.; Before rolling, fold one side. Then fold two opposite sides.; After that, roll it. Please see the below pictures on how to roll these spring rolls.; Then coat this roll with plain flour which we kept aside.; After that dip in beaten egg.; Then roll it again on bread crumbs and cover the rolls with bread crumbs.; Repeat the process with remaining batter and the filling.; Prepare all the rolls for deep frying.; Step 3:Deep frying; Ah, I am really happy now. We are in the final step.; Simply heat some oil in a deep frying pan or a thachchi.; When oil is hot, deep fry the rolls.; When rolls are fried evenly and golden brown, remove those to a kitchen towel.; Allow to drain any excess oil.; Repeat with the remaining rolls.; Step 4: Serve it; Once all the Chinese rolls are deep fried, serve hot with some tomato sauce.; A ginger tea is well goes with this. That is my favourite combination.","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Appetizers and Snacks",https://foodcnr.com/sri-lankan-chinese-rolls/,https://foodcnr.com/wp-content/uploads/2014/08/Sri-Lankan-Rolls.jpg
Salted Fish Stir Fry (Karawala Baduma),"Here is salted Fish Stir Fry or Karawala Baduma as we call it in Sri Lanka,In Sri Lanka we consume dried fish and it is easily available to buy.",written byAmila Gamage Wickramarachchi,"May 30, 2016",,,,,,50g salted fish1 medium sized onion1 sprig of curry leaves3-4 Green chillies¼ tspn mustard seeds¼ tspn turmeric powder1 tspn chili flakes1 inch piece cinnamon stickOil to frySalt as required,"Have a look. May be you will like this method when you cook dried fish next time.If you like dried fish in a curry, try thisdried fish curry recipetoo.; Below is the Karawala Baduma recipe.Check this recipe in case if you look foreasy Sri Lankan karwala thel dala recipe; 1 medium sized onion; 1 sprig of curry leaves; 3-4 Green chillies; ¼ tspn mustard seeds; ¼ tspn turmeric powder; 1 tspn chili flakes; 1 inch piece cinnamon stick; Salt as required; Wash salted fish.Remove the skin if there is any.; Cut into small pieces.Keep aside.; Slice onion.Slice green chilies lengthwise.; First,deep fry salted fish and keep aside.; Then in a pan, heat 2 tbspn oil,Add mustard seeds when oil is hot.; Once mustard seeds start to splutter,add onion,curry leaves and green chili.Mix well.; When onion is tender,add turmeric powder and mix well.; For this,add chili flakes and a pinch of salt.; Usually dried fish are saltish.So,there is no need to add salt.However,I add a pinch to onion mix just to make sure taste is balanced in both onion and dried fish.You can avoid adding salt.; When the onion mix is well cooked,add deep fried dried fish and mix well.; Cover and cook for another 1-2 minutes.; Remove and serve with plain rice.; How about you?Do you like salted fish?; Dried FishKarawalaStir Fry","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Dried Fish",https://foodcnr.com/salted-fish-stir-fry-karawala-baduma/,https://foodcnr.com/wp-content/uploads/2014/08/salted-fish-stir-fry-recipe.jpg
Sri Lankan Potato Curry (Ala Hodi kirata),Here is Sri Lankan Potato curry which is called as Ala Hodi kirata.This curry is also popular as Potato white curry simply it is mild spicy.,written byAmila Gamage Wickramarachchi,"January 27, 2014",,,,,3-4,"Don’t use red chili powder.; Don’t add curry powder.; Boil potatoes first and then use in the curry.; Once  thick coconut milk is added, stir the curry to avoid lumps. Cook in low  flame. Continue stirring even after removing from the burner for  another few minutes. Then you will get the perfect appearance same as in  restaurants.","Wash and boil potatoes. Remove the
skin. Cut into quarters. Keep aside.; In a cooking pot, add all the spices
together with, onion, green chili & curry leaves.; Mix all & add thin coconut milk.
Cover & allow to cook in medium flame till onions are tender. Then add
boiled potatoes (which we kept aside) and cook for another 1-2 minutes.; After that, add thick coconut milk.; Stir and cook for few minutes till
coconut milk is boiling in a very low flame.; Adjust salt to taste. Remove from
the burner and stir for another few minutes. This will avoid any lumps of
coconut milk.; It is ready to serve.; Add 1-2  tspn of fresh lime juice for more
flavor-optional; Sri Lankan Sweets and Treats for April New Year; Red Kidney Beans Curry in Sri Lankan Style; Beetroot Carrot Mung Parippu Stir Fry; 6 Sri Lankan Food Recipes which are Easy to Cook; Sri Lankan Kiri Ala Curry (Taro Roots Curry); Potato curryPotatoesSri Lankan Curry Recipes","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/potato-curry-from-sri-lanka-ala-hodi-kirata/,https://foodcnr.com/wp-content/uploads/2014/07/Sri-Lankan-Potato-curry-mild-spicy.jpg
Sri Lankan Carrot Curry /Mild Spicy,,written byAmila Gamage Wickramarachchi,"June 27, 2019",,,,,3-4,(for 3-4 servings)250g Carrot 2-3 green chili sliced lengthwise½ medium sized onion sliced1 sprig curry leaves1inch piece pandan leaf/(rampa)¼ tsp turmeric powder 1/2 tsp curry powder1/2 tsp fenugreek seedsPiece of cinnamonSalt to taste1 cup thick coconut milk,"Peel the skin, wash & slice carrot into small pieces.(ok,I prefer to cut small pieces,but still you can cut it into rounds or cubes or even as strips!); Put sliced carrot into a cooking pan & mix all other ingredients mentioned above.; Cover & cook in low heat until carrot is cooked.; Add some water only if required.; Once carrot is cooked well, adjust salt to taste.; Make it as a dry curry or keep bit gravy as desired.; Serve with rice & other curries.; Tip: Add less amount of curry powder to keep the colour of curry into bright orange.; Also check:Beetroot Carrot Mung Parippu stir fry","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/sri-lankan-carrot-curry-mild-spicy/,https://foodcnr.com/wp-content/uploads/2014/07/Mild-spicy-carrot-curry.jpg
Simple Sri Lankan Beetroot Curry,"Sri Lankan Beetroot Curry in easy steps,This is a simple and easy Beetroot curry from Sri Lanka.I cook beetroot in this method when I am in a hurry to cook. When it is cooked in thick coconut milk as a dry curry, it tastes much and well goes with plain rice.",written byAmila Gamage Wickramarachchi,"January 12, 2018",,,,,3-4,,"Also check:Beetroot Carrot Mung Parippu stir fry; Sri Lankan Beetroot Curry; Usually in Sri Lankan cuisine, we can find different method of cooking the same vegetable simply by changing an ingredient or by simple change to the method of cooking. Earlier I shared anotherbeetroot recipewhich I tempered onions and other ingredients. If you like to try different recipes with the same vegetables, try this too. And don’t forget to tell me how the outcome is…; Anyway, without much talking, here is the simple recipe for Beetroot curry. Hope you will like it.; Ingredients: (for 3-4 servings); ½ medium sized onion sliced; 2-3 green chilli sliced; 1 tsp red chili powder; 1 sprig curry leaves; 1inch piece pandan leaf/(rampa) (optional); ¼ tsp turmeric powder; 1 tsp raw curry powder; 1/2 tsp fenugreek seeds; Piece of cinnamon; 1/2 cup thick coconut milk; 1 cup thin coconut milk; Peel the skin of beetroots, wash, and slice into small pieces. Keep in a pot.; Add all the spices under the ingredients list together with, onion, rampa & curry leaves.; Mix all & add thin coconut milk. Cover & cook in medium flame.; Once beetroot is well cooked add thick coconut milk. Mix well.; Adjust salt to taste.; Simmer till the curry becomes dry.; Beetroot curry is ready to serve with plain rice.; If you like you can temper it, but this version is more healthier if you concern the oil intake.; beetBeetrootBeetroot CurrySri Lankan Beetroot Curry","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/simple-sri-lankan-beetroot-curry/,https://foodcnr.com/wp-content/uploads/2014/07/Beetroot-curry-Sri-Lankan-recipes.jpg
