ingredient_name,usage_count,percentage_of_missing
,52,5.273833671399594
water,35,3.5496957403651117
mustard seeds,28,2.839756592292089
eggs,22,2.231237322515213
ginger,19,1.9269776876267748
turmeric,18,1.8255578093306288
cumin seeds,15,1.5212981744421907
ghee,14,1.4198782961460445
rice,14,1.4198782961460445
cloves,11,1.1156186612576064
chana dal,8,0.8113590263691683
garam masala,8,0.8113590263691683
paprika,7,0.7099391480730223
mayonnaise,7,0.7099391480730223
cinnamon,6,0.6085192697768762
coriander,6,0.6085192697768762
big,6,0.6085192697768762
shallots,6,0.6085192697768762
hot.,5,0.5070993914807302
hing,5,0.5070993914807302
jaggery,5,0.5070993914807302
cardamom,5,0.5070993914807302
asafoetida,5,0.5070993914807302
mustard,5,0.5070993914807302
soy sauce,5,0.5070993914807302
cumin,5,0.5070993914807302
chilies,5,0.5070993914807302
cardamoms,4,0.4056795131845842
tsp. mustard seeds,4,0.4056795131845842
lemon juice,4,0.4056795131845842
leaf,4,0.4056795131845842
moong dal,4,0.4056795131845842
ketchup,4,0.4056795131845842
clove,4,0.4056795131845842
shrimp paste,4,0.4056795131845842
coriander seeds,4,0.4056795131845842
dijon mustard,4,0.4056795131845842
vanilla,3,0.3042596348884381
1/2 cups water,3,0.3042596348884381
cashews,3,0.3042596348884381
cilantro,3,0.3042596348884381
parotta,3,0.3042596348884381
ginger paste,3,0.3042596348884381
jasmine rice,3,0.3042596348884381
peppers,3,0.3042596348884381
parsley,3,0.3042596348884381
yellow rice,3,0.3042596348884381
lemongrass,3,0.3042596348884381
vanilla extract,3,0.3042596348884381
piece ginger,3,0.3042596348884381
size tamarind,3,0.3042596348884381
anise,2,0.2028397565922921
1/2 cup water,2,0.2028397565922921
it,2,0.2028397565922921
tamarind juice,2,0.2028397565922921
tsp. ginger,2,0.2028397565922921
pods,2,0.2028397565922921
peas,2,0.2028397565922921
chilies slit,2,0.2028397565922921
to serve.,2,0.2028397565922921
yellow moong dal,2,0.2028397565922921
chappathi,2,0.2028397565922921
peanuts,2,0.2028397565922921
with coriander.,2,0.2028397565922921
taco seasoning,2,0.2028397565922921
oregano,2,0.2028397565922921
vinegar,2,0.2028397565922921
bouillon cube,2,0.2028397565922921
optional,2,0.2028397565922921
honey,2,0.2028397565922921
enchilada sauce,2,0.2028397565922921
with a,2,0.2028397565922921
hot sauce,2,0.2028397565922921
english peas,2,0.2028397565922921
9th,2,0.2028397565922921
old bay seasoning,2,0.2028397565922921
saffron threads,2,0.2028397565922921
6th,2,0.2028397565922921
galangal,2,0.2028397565922921
it simmer,2,0.2028397565922921
raisins,2,0.2028397565922921
cornstarch,2,0.2028397565922921
cornstarch about 16 grams,2,0.2028397565922921
vanilla-flavored cornstarch pudding mix,2,0.2028397565922921
medium-grain or carolina rice about 150 grams,2,0.2028397565922921
1/2 cups water about 600 ml,2,0.2028397565922921
sticks,2,0.2028397565922921
mango,2,0.2028397565922921
besan,2,0.2028397565922921
shallot,2,0.2028397565922921
cauliflower,2,0.2028397565922921
cup. water,2,0.2028397565922921
tamarind paste,2,0.2028397565922921
tsp. cumin seeds,2,0.2028397565922921
-,2,0.2028397565922921
fenugreek seeds,2,0.2028397565922921
worcestershire sauce,2,0.2028397565922921
lard,1,0.10141987829614604
box wine concentrate,1,0.10141987829614604
malt,1,0.10141987829614604
tea,1,0.10141987829614604
yeast,1,0.10141987829614604
frog legs,1,0.10141987829614604
1/2 tsp crab boil seasoning,1,0.10141987829614604
unsweetened cocoa,1,0.10141987829614604
on floured surface to 1/8 inch thick,1,0.10141987829614604
with cookie cutter,1,0.10141987829614604
at 350°f,1,0.10141987829614604
ghee/oil,1,0.10141987829614604
udad dal,1,0.10141987829614604
sesame seeds,1,0.10141987829614604
pound cake,1,0.10141987829614604
it into a serving plate. serve it as a snack or,1,0.10141987829614604
mace,1,0.10141987829614604
1-1/4 cup water,1,0.10141987829614604
idli rice,1,0.10141987829614604
this moulds in a pan which is filled with steaming water.,1,0.10141987829614604
rice flour/chawal ka aata,1,0.10141987829614604
1/4 th cup water,1,0.10141987829614604
done remove on plate & allow it to cool in room temperature.,1,0.10141987829614604
instant yeast,1,0.10141987829614604
1-1/2 cups warm water,1,0.10141987829614604
hoppers idiyapam,1,0.10141987829614604
briyani masala,1,0.10141987829614604
clyndrical balls.,1,0.10141987829614604
cook,1,0.10141987829614604
idiyappam balls shredded,1,0.10141987829614604
mixed veggies,1,0.10141987829614604
2-3 tbsp. fried peanuts,1,0.10141987829614604
water + 3/4 cup,1,0.10141987829614604
idiyappam string hoppers,1,0.10141987829614604
tsp. rose water,1,0.10141987829614604
1/2 cups water boiling,1,0.10141987829614604
active yeast,1,0.10141987829614604
soya sauce,1,0.10141987829614604
make scrambled egg.set aside,1,0.10141987829614604
string hoppers.,1,0.10141987829614604
1/4 cup water,1,0.10141987829614604
further steam it,1,0.10141987829614604
leftover idiyappam,1,0.10141987829614604
2-3 tbsp. coriander roots,1,0.10141987829614604
tsp. kasuri methi crushed,1,0.10141987829614604
tsp. asafoetida,1,0.10141987829614604
1/2 cups salted boiling water,1,0.10141987829614604
black chana,1,0.10141987829614604
hot water,1,0.10141987829614604
yellow moong dal split yellow lentils,1,0.10141987829614604
- cut into 2-inch pieces,1,0.10141987829614604
sambhar masala,1,0.10141987829614604
sprouts chana,1,0.10141987829614604
kaskas,1,0.10141987829614604
annise,1,0.10141987829614604
rice sevai,1,0.10141987829614604
corn 🌽,1,0.10141987829614604
haldi,1,0.10141987829614604
idiyappam,1,0.10141987829614604
curry leaf,1,0.10141987829614604
1tsp cumin seeds,1,0.10141987829614604
1tsp urad dal,1,0.10141987829614604
yoghurt whisked,1,0.10141987829614604
tbsp. peanuts,1,0.10141987829614604
idiyappam.,1,0.10141987829614604
3/4 cup water,1,0.10141987829614604
finally serve ragi idiyappam. enjoyyy!!!,1,0.10141987829614604
sama rice,1,0.10141987829614604
amrutham podi,1,0.10141987829614604
spinach,1,0.10141987829614604
patta,1,0.10141987829614604
2 glasses of boiling water ready,1,0.10141987829614604
or shredded vegetables of your choice.cabbage,1,0.10141987829614604
left over curry optional,1,0.10141987829614604
crumbled paneer or toffu optional,1,0.10141987829614604
roti or paratha,1,0.10141987829614604
chapatis,1,0.10141987829614604
rotis,1,0.10141987829614604
chapati,1,0.10141987829614604
chapathi,1,0.10141987829614604
any kuruma/salna,1,0.10141987829614604
chapathi into pieces. keep it aside,1,0.10141987829614604
urad daal,1,0.10141987829614604
jeera / cumin,1,0.10141987829614604
toor daal,1,0.10141987829614604
lemon/lime juice,1,0.10141987829614604
finely,1,0.10141987829614604
perumgeera,1,0.10141987829614604
coriander wholeoptional,1,0.10141987829614604
tamarind water,1,0.10141987829614604
2-10 ingredients.,1,0.10141987829614604
it hot with rice or chappatis,1,0.10141987829614604
idly,1,0.10141987829614604
roti/ chapati,1,0.10141987829614604
aloo gobhi sabji,1,0.10141987829614604
cumin seeds/ jeera,1,0.10141987829614604
neer dosas ragi millet dosa ragi dose,1,0.10141987829614604
wateruse only if needed if mixture gets too dry,1,0.10141987829614604
cabbage,1,0.10141987829614604
kothukari,1,0.10141987829614604
any kuruma veg or nonveg,1,0.10141987829614604
chappathis into fine pieces.,1,0.10141987829614604
shredded,1,0.10141987829614604
chapati cut into strips,1,0.10141987829614604
scrambled,1,0.10141987829614604
calpis,1,0.10141987829614604
palm jaggery,1,0.10141987829614604
over or freshly made parathas,1,0.10141987829614604
curd,1,0.10141987829614604
gravy / stock,1,0.10141987829614604
murungai keerai or moringa,1,0.10141987829614604
cumin/jeera,1,0.10141987829614604
oil/ghee,1,0.10141987829614604
leftover paranthaskerela/any normal,1,0.10141987829614604
made kerala parota,1,0.10141987829614604
3-4 cinnamon sticks,1,0.10141987829614604
pure ghee,1,0.10141987829614604
3/4 cups water*,1,0.10141987829614604
cooking wine,1,0.10141987829614604
store-,1,0.10141987829614604
gochujang korean chili paste,1,0.10141987829614604
pureed optional,1,0.10141987829614604
1/3 –4 lbs lamb chops about 1500–1800 grams,1,0.10141987829614604
or mint,1,0.10141987829614604
–4 cups water about 700–950 ml,1,0.10141987829614604
sweet paprika,1,0.10141987829614604
1/2 cups yellow rice,1,0.10141987829614604
alone or use as side,1,0.10141987829614604
yellow rice dinner mix or two bags,1,0.10141987829614604
2nd,1,0.10141987829614604
chickpeas about 125 grams or 9 oz chickpeas about 250 grams,1,0.10141987829614604
yellow rice about 90 grams,1,0.10141987829614604
zucchini,1,0.10141987829614604
3-4 tablespoons corn,1,0.10141987829614604
bouillon cube optional,1,0.10141987829614604
balsamic vinegar or lemon juice,1,0.10141987829614604
corn tortillas,1,0.10141987829614604
shredded cheese mozzarella or mexican blend,1,0.10141987829614604
optional yellow rice side,1,0.10141987829614604
tortillas slightly,1,0.10141987829614604
shredded cheese generously on top.,1,0.10141987829614604
at 180°c 350°f,1,0.10141987829614604
your favorite packaged yellow rice uncooked,1,0.10141987829614604
mixed vegetables,1,0.10141987829614604
calamansi juice or lemon,1,0.10141987829614604
thyme,1,0.10141987829614604
spanish paprika,1,0.10141987829614604
1-1/2 cup yellow rice mix,1,0.10141987829614604
harissa,1,0.10141987829614604
capers,1,0.10141987829614604
1-1/2 cup water,1,0.10141987829614604
fontina cheese chunks,1,0.10141987829614604
parmigiano-reggiano cheese topping,1,0.10141987829614604
10th,1,0.10141987829614604
crawfish tails,1,0.10141987829614604
cajun seasoning plus extra,1,0.10141987829614604
dill,1,0.10141987829614604
chuck,1,0.10141987829614604
i hope you enjoy!!!,1,0.10141987829614604
yellow rice 1 pound total,1,0.10141987829614604
petite english peas,1,0.10141987829614604
if you like spicy otherwise don’t use it,1,0.10141987829614604
mango chutney,1,0.10141987829614604
stock cube crumbled,1,0.10141987829614604
12 3/10 oz basmati rice,1,0.10141987829614604
1.76 oz raisins,1,0.10141987829614604
oven to 350 f/ 175 c,1,0.10141987829614604
ranch seasoning,1,0.10141987829614604
spoonfuls of mayo,1,0.10141987829614604
serving size of plain greek yogurt,1,0.10141987829614604
dill works too,1,0.10141987829614604
package of gardein meatless chick’n strips,1,0.10141987829614604
3rd,1,0.10141987829614604
vermicelli,1,0.10141987829614604
saffron food color,1,0.10141987829614604
bouillon cubes,1,0.10141987829614604
water boiling,1,0.10141987829614604
ghee home made,1,0.10141987829614604
tbsp. cilantro,1,0.10141987829614604
1-2 tbsp. taco seasoning homemade or store-,1,0.10141987829614604
tsp. hot sauce,1,0.10141987829614604
tsp. cumin,1,0.10141987829614604
avocado,1,0.10141987829614604
lean turkey,1,0.10141987829614604
sazon with achiote,1,0.10141987829614604
sauté your turkey until no pink remains ……,1,0.10141987829614604
turkey chili turkey chili inspired by recipe here: https://jdboelter.blogspot.com/2015/10/turkey-chili-recipe-nyt-cooking_30.html oanh luong,1,0.10141987829614604
candlenuts,1,0.10141987829614604
indofood rendang paste,1,0.10141987829614604
brown rice about 200 grams,1,0.10141987829614604
almond extract,1,0.10141987829614604
cranberries about 100 grams,1,0.10141987829614604
2smile spicy queso dip,1,0.10141987829614604
splenda,1,0.10141987829614604
no-fail rice cooker brownie chocolate cake no-fail rice cooker brownie chocolate cake guaranteed success,1,0.10141987829614604
medium-grain rice about 100 grams,1,0.10141987829614604
water about 480 ml,1,0.10141987829614604
rice about 200 grams,1,0.10141987829614604
ghee about 60 ml,1,0.10141987829614604
pistachios,1,0.10141987829614604
carolina rice about 100 grams,1,0.10141987829614604
3/4-2 cups water 400-450 grams,1,0.10141987829614604
