recipe_title,total_ingredients,missing_ingredients_count,missing_percentage,missing_ingredients_list
Parippu Curry,38,16,42.1,"2-3 tbsp water, 3-4 tbsp water, chilies, cumin, cumin seeds, ghee, moong dal, mustard, mustard seeds, split moong dal, tbsp. ghee, tsp. cumin seeds, tsp. mustard seeds, turmeric, water plus more, yellow moong daal"
Burrito bowl - Meal prep,20,14,70.0,", cilantro, cumin, gochujang korean chili paste, paprika, peppers, pureed optional, soy sauce, store-, taco seasoning"
Hot honey fried shrimp deviled eggs,19,11,57.9,"1-2 cups corn meal, 1/2-1 cup mayo depending how creamy you like, assemble. place yolk in eggs shrimp on top then drizzle your hot sauce mixture., corn starch, creole seasoning, deveined shrimp, dijon mustard, eggs, hot sauce, paprika or creole seasoning, sweet relish"
Kothu Parotta,36,10,27.8,"asafoetida, cinnamon, cumin seeds, eggs, finely, gravy / stock, leaf, mustard seeds, parotta"
Authentic Sri Lankan Chicken Curry,20,10,50.0,", - 200 ml water, black mustard seeds, black peppercorns, cardamoms, cloves, coriander seeds, cumin seeds, ginger, rice"
Roasted Peri-peri Chicken w/ Yellow Rice,20,9,45.0,"calamansi juice or lemon, cinnamon, hot sauce, mayonnaise, rice, spanish paprika, thyme, vinegar, water"
California Farm Cookpad Planning,17,9,52.9,", box wine concentrate, eggs, lard, malt, tea"
Sour curry with White radish and fry fish,14,9,64.3,"baby broccoli, chllies, cloves clove, radish cut, shallot, shrimp paste, tamarind, turmeric, water"
Chickpea Salad Without Oil,11,9,81.8,"3-4 tablespoons corn, balsamic vinegar or lemon juice, bouillon cube optional, chickpeas about 125 grams or 9 oz chickpeas about 250 grams, honey, mustard, optional, yellow rice about 90 grams, zucchini"
Vegetable Sambar Idiyappam,20,9,45.0,"- cut into 2-inch pieces, ghee, hing, hot water, jaggery, mustard seeds, sambhar masala, water, yellow moong dal split yellow lentils"
Thai Sour Curry Recipe •Climbing Wattle Omelette and Shrimps •Gaeng Som Chaom Goong,17,9,52.9,"cup. tamarind juice, cup. water, eggs, g. shrimp meat, pack. climbing wattle, pcs. shallot, pcs. shrimps, tbsp. shrimp paste"
