Name,Unit,Average Price,Min Price,Usage Count,Notes
,1 kg,,,52,Add realistic Sri Lankan market price
Water,1 kg,,,35,Add realistic Sri Lankan market price
Mustard Seeds,1 kg,,,28,Add realistic Sri Lankan market price
Eggs,1 kg,,,22,Add realistic Sri Lankan market price
Ginger,1 kg,,,19,Add realistic Sri Lankan market price
Turmeric,1 kg,,,18,Add realistic Sri Lankan market price
Cumin Seeds,1 kg,,,15,Add realistic Sri Lankan market price
Ghee,1 kg,,,14,Add realistic Sri Lankan market price
Rice,1 kg,,,14,Add realistic Sri Lankan market price
Cloves,1 kg,,,11,Add realistic Sri Lankan market price
Chana Dal,1 kg,,,8,Add realistic Sri Lankan market price
Garam Masala,1 kg,,,8,Add realistic Sri Lankan market price
Paprika,1 kg,,,7,Add realistic Sri Lankan market price
Mayonnaise,1 kg,,,7,Add realistic Sri Lankan market price
Cinnamon,1 kg,,,6,Add realistic Sri Lankan market price
Coriander,1 kg,,,6,Add realistic Sri Lankan market price
Big,1 kg,,,6,Add realistic Sri Lankan market price
Shallots,1 kg,,,6,Add realistic Sri Lankan market price
Hot.,1 kg,,,5,Add realistic Sri Lankan market price
Hing,1 kg,,,5,Add realistic Sri Lankan market price
Jaggery,1 kg,,,5,Add realistic Sri Lankan market price
Cardamom,1 kg,,,5,Add realistic Sri Lankan market price
Asafoetida,1 kg,,,5,Add realistic Sri Lankan market price
Mustard,1 kg,,,5,Add realistic Sri Lankan market price
Soy Sauce,1 kg,,,5,Add realistic Sri Lankan market price
Cumin,1 kg,,,5,Add realistic Sri Lankan market price
Chilies,1 kg,,,5,Add realistic Sri Lankan market price
Cardamoms,1 kg,,,4,Add realistic Sri Lankan market price
Tsp. Mustard Seeds,1 kg,,,4,Add realistic Sri Lankan market price
Lemon Juice,1 kg,,,4,Add realistic Sri Lankan market price
Leaf,1 kg,,,4,Add realistic Sri Lankan market price
Moong Dal,1 kg,,,4,Add realistic Sri Lankan market price
Ketchup,1 kg,,,4,Add realistic Sri Lankan market price
Clove,1 kg,,,4,Add realistic Sri Lankan market price
Shrimp Paste,1 kg,,,4,Add realistic Sri Lankan market price
Coriander Seeds,1 kg,,,4,Add realistic Sri Lankan market price
Dijon Mustard,1 kg,,,4,Add realistic Sri Lankan market price
Vanilla,1 kg,,,3,Add realistic Sri Lankan market price
1/2 Cups Water,1 kg,,,3,Add realistic Sri Lankan market price
Cashews,1 kg,,,3,Add realistic Sri Lankan market price
Cilantro,1 kg,,,3,Add realistic Sri Lankan market price
Parotta,1 kg,,,3,Add realistic Sri Lankan market price
Ginger Paste,1 kg,,,3,Add realistic Sri Lankan market price
Jasmine Rice,1 kg,,,3,Add realistic Sri Lankan market price
Peppers,1 kg,,,3,Add realistic Sri Lankan market price
Parsley,1 kg,,,3,Add realistic Sri Lankan market price
Yellow Rice,1 kg,,,3,Add realistic Sri Lankan market price
Lemongrass,1 kg,,,3,Add realistic Sri Lankan market price
Vanilla Extract,1 kg,,,3,Add realistic Sri Lankan market price
Piece Ginger,1 kg,,,3,Add realistic Sri Lankan market price
Size Tamarind,1 kg,,,3,Add realistic Sri Lankan market price
Anise,1 kg,,,2,Add realistic Sri Lankan market price
1/2 Cup Water,1 kg,,,2,Add realistic Sri Lankan market price
It,1 kg,,,2,Add realistic Sri Lankan market price
