recipe_title,original_line,ingredient_name,quantity,unit
Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,Jackfruit Seeds - 250g,jackfruit seeds - 250g,1,piece
Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),Curd - 2 tablespoons,curd - 2 tablespoons,1,piece
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),Water - 150ml,water - 150ml,1,piece
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),Chickpea - 250g,chickpea - 250g,1,piece
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),Bay leaf - 1,bay leaf - 1,1,piece
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),Clove - 3 or 4,clove - 3 or 4,1,piece
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),Water - 300ml,water - 300ml,1,piece
Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,Fenugreek seeds - ¼ teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Eggplant - 400g,eggplant - 400g,1,piece
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Fenugreek seeds - ½ teaspoon,fenugreek seeds - ½ teaspoon,1,piece
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Thin tamarind juice - 200ml,thin tamarind juice - 200ml,1,piece
How to Make Onion Achcharu in Jaffna? (Best & Simple),Dates - 200g,dates - 200g,1,piece
How to Make Onion Achcharu in Jaffna? (Best & Simple),Mustard seeds - 50g,mustard seeds - 50g,1,piece
How to Make Onion Achcharu in Jaffna? (Best & Simple),Vinegar - 300ml,vinegar - 300ml,1,piece
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),Agathi keerai - 75g,agathi keerai - 75g,1,piece
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),Thick tamarind juice - 50ml,thick tamarind juice - 50ml,1,piece
