title,description,author,published_date,prep_time,cooking_time,total_time,difficulty,servings,ingredients,instructions,tags,url,image_url
Sri Lankan Kiri Ala Curry (Taro Roots Curry),This Sri Lankan Kiri Ala Curry is damn delicious and well goes with plain rice.Also known as Taro Roots Curry is with many health benefits.,written byAmila Gamage Wickramarachchi,"May 14, 2011",,,,,4,(for 3-4 servings)300g Kiri ala  ½ of medium sized onion sliced2-3 green chili sliced1 tspn raw curry powder  ½ tspn turmeric powder1/4 tspn Fenugreek seedsPiece of Cinnamon  Rampe & curry leaves Salt as per taste1 cup thin coconut milk½  cup thick coconut milk,"Peel the skin. Wash thoroughly.; Cut kiri ala into bite size pieces.; In a pan, place kiri ala pieces.; Add all ingredients above other than thick coconut milk.; Mix well and cook until kiri ala is boiled well.; Finally add thick coconut milk and mix well.; Simmer few minutes until coconut milk starts boiling.; At this point check salt and adjust if necessary.; Switch off the flame and keep the curry on the stove.; The hotness of the stove is good enough to thicken the curry.; It is ready to serve with plain rice.; Now it is your turn.Cook this Kiri Ala curry and let me know how it comes out! 🙂; CurryKiri AlaTaro","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/sri-lankan-kiri-ala-curry/,https://foodcnr.com/wp-content/uploads/2020/04/Sri-Lankan-Taro-Roots-Curry-1.jpg
Red Kidney Beans Curry in Sri Lankan Style,"Red kidney beans curry in Sri Lankan Style, rajma masala using Sri Lankan spices and it is a healthy and spicy curry gravy in coconut milk,",written byAmila Gamage Wickramarachchi,"March 19, 2014",,,,,4,Remember to soak your beans at least 6-8 hours before cooking. Add a teaspoon of baking soda to your beans during the time you soak. This step will help to soften the beans.,Step 1: Pre-Preparation; Step 2: Preparation; Step 3: Preparation of other ingredients; Step 3: Cooking red kidney beans curry,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/red-kidney-beans-curry-sri-lankan/,https://foodcnr.com/wp-content/uploads/2021/09/Sri-Lankan-Red-kidney-beans-curry.jpg
Beetroot Carrot Mung Parippu Stir Fry,"Beetroot Carrot Mung Parippu stir fry,Instead of a Beetroot carrot Mung Parippu curry I am cooking it as a stirfry with moong dal.",written byAmila Gamage Wickramarachchi,"July 22, 2013",,,,,4,"but inspired by Indian recipes. In Sri Lanka, I never came across a dal fry recipe. Instead, we cook dal as a curry with or without tempering it. But, recently I tasted a similar dish from an Indian restaurant and found it delicious. Though I tried to search the recipe over the web typing similar words, I couldn’t find a matching recipe. Finally, I tried it thinking it was cooked as below recipe. (At least similar steps).Therefore, This Beetroot Carrot Mung Parippu stir fry is an Indian inspired recipe but no Indian spices such as masala powder are used. Try this. I am sure you would love to cook dal stir-fry with beetroot and carrot.Although in this recipe I used both beetroot and carrot in one dish with moong dal, you can try it with beetroot alone or carrot alone. Instead of moong dal (Mung parippu) , try thor dal (Thora parippu) or channa dal (kadala parippu). I’ve tried all these versions and always the results were awesome.Beetroot Carrot Mung Parippu stir fry recipeIngredients (for 3-4 servings)1 medium-sized beetroot1 carrot½ cup moong dal (split moong beans/ or mung parippu)2-3 Green chillies1 medium sized onion1 sprig of curry leaves1 inch piece Rampe (Pandan leaf)¼ tspn mustard seeds¼ tspn turmeric powder1 tspn chili powder1 tbsp. Oil to frySalt as required",Step 1: Pre-Preparation; Step 2 : Preparation; Step 3: Cooking the moong dal stir fry with beet and carrot,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Vegetables and Pulses",https://foodcnr.com/beetroot-carrot-mung-parippu-stir-fry/,https://foodcnr.com/wp-content/uploads/2021/09/Beetroot-carrot-Mung-Parippu-stir-fry-1.jpg
6 Sri Lankan Food Recipes which are Easy to Cook,"Sri Lankan Food which are Easy to Cook,Sri Lankan recipes to try with easy steps,Sri Lankan food recipes including rice and curry",written byAmila Gamage Wickramarachchi,"May 30, 2019",,,,,,,"If you enjoy cooking and if you like trying food recipes from different cuisines, then you must trySri Lankan recipestoo. With blends of spices and tastes of coconut cream most of the Sri Lankan foods are authentic and unique for this beautiful island of Indian Ocean.; Rice and curry are the staples of Sri Lanka; However, it is always wise to try easy recipes before you start trying some difficult food which needs lot of ingredients and time. Easy to cook recipes are the go-to cookbooks for any busy individual; add in a foodie personality and you see cravings for easy-to-cook food from international cuisines.; Although I have shared many Sri Lankan recipes which you can try out at home, in this post I want to highlight some of the Sri Lankan food recipes which are easy to cook.; Here are some food suggestions on how to surprise your taste buds with easy to cook Sri Lankan Recipes! I hope you will try some of these Sri Lankan recipe ideas.; Kiribath or milk rice is prepared in a variety of ways. The basics include boil a pot of rice first. Add coconut milk and salt before the rice finishes cooking. Once a sticky consistency is observed, cut into wedges and serve like slices of cake. Easy, ha? It is delicious too!; Check ourKiribath recipefor more details.; Sri Lankan Dhal Curry (mild spicy); Dhal Curry is a common Sri Lankan curry, made using split red lentils or masoor dhal rinsed and boiled until soft. Fresh ingredients including onions and fresh green chillies are sautéed and mixed with tempered spices like mustard seeds, turmeric and curry leaves. All ingredients are finally combined with a cup of coconut milk for a rich creamy flavor.; There are many different ways to cook Dhal Curry in Sri Lankan style. Below recipes will sure inspire you. Select your best Sri Lankan dhal recipe and start cooking it. It is super easy!; Check below recipes.; Sri Lankan dhal curry with green chili; Sri Lankan dry dhal curry(parippu curry); Sri Lankan chicken curry; Kukul Mas Curry or chicken curry is one of the easy  to make Sri Lankan recipes with spices like fennel seeds, cinnamon, cloves and cardamom tempered in hot oil before combining with chicken and spices like curry leaves, lemon grass, and a puree of tomato, chilli, curry and turmeric powders. Adding coconut milk enriches the curry base and finally stewing for an hour or so.; Although there are different ways to cook Sri Lankan chicken curry, I suggest below recipe if you are a beginner.; Check how to cookSri Lankan chicken currywith raw curry powder.; Pol Sambol or fresh coconut relish recipe is the easiest among the lot of Sri Lankan recipes. With ingredients including finely grated coconut, red onion, Maldive fish, dried whole chillies, lime juice and salt, added together and finely ground before serving Pol Sambol makes it a spicy and hot dish which goes well with plain rice, bread or any type of roti. It is really easy to make. Try it and experience the different tastes of Sri Lankan food!; CheckSri Lankan pol sambola recipe.; Known as Kiri hodi or white curry this is one of the easiest recipes to try from Sri Lankan cuisine. However although it is easy to cook you also need to pay attention from the beginning to the end of process to keep your dish of kiri hodi looks appealing and inviting!; Checkkiri hodi recipewith tips and tricks on making it.; A Sri Lankan meal is not completed if there is no addition from edible greens. Such greens are eaten as raw or as cooked. A raw green salad prepared in Sri Lankan way is called as ‘kola sambola’ and there are plenty of leaves which you can use in such a salad. One of the popular Sri Lankan kola sambolaya is ‘Gotu Kola Sambola’.It is really easy to prepare. You will only need few ingredients and the raw salad is ready in few minutes.; CheckGotu Kola Sambola recipe.; If you can’t find greens that are specific to Sri Lanka, then don’t worry. There are different leaves I have tried using the same basic recipe. Be it Arugula or fenugreek leaves, still you can taste a simple kola sambolaya with Sri Lankan flavours.; CheckArugula Sambola recipe; CheckFenugreek leaves sambolaya; Above are some the basic and easy Sri Lankan food for anyone who loves to try different cuisines. Hope you will enjoy your time cooking!; Have you tried Sri Lankan recipes before?; Easy to cookRecipesSri LankaSri Lankan food","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Recipe Collections",https://foodcnr.com/sri-lankan-food-recipes-easy-to-cook/,https://foodcnr.com/wp-content/uploads/2017/09/Sri-Lankan-Food.jpg
Sri Lankan Sweets and Treats for April New Year,"Sri Lankan Sweets and Treats for April New Year,Traditional Sri Lankan sweets recipes for Sinhala & Hindu New Year,April New Year recipes.",written byAmila Gamage Wickramarachchi,"November 3, 2014",,,,,,,"You can read more details about Sri Lankan April New Year in this post aboutSri Lankan food culture.; Sinhala New year starts with lot of traditions!; Now, we are waiting for the 2017 New Year! Celebrations will begin. For a day, the Majority of Sri Lankans will stop cooking at the same time. They will again start cooking again after few hours for the given auspicious time. This is the moment most of the Sri Lankans get united. It is the time for a family reunion.; Coconut scraping competition is a fun Sinhala New Year Game! 🙂; Do you like to read more about Sinhala New Year games? These traditional games make the celebrations memorable during the April New Year season.; Check this post aboutCoconut Scraping competitioninwhich ladies come into acontest!; Check this post aboutNew Year traditional games of Sri Lankawhich I shared in my travel blog.; Kotta pora (Another traditional game that involves fighting with a pillow) 🙂; And…yes, it is the time for traditional sweets and othertreats to come tothe dining table.; If you are getting ready to celebrate the New Year, here are recipes for Sri Lankan traditional sweets and other food which are must have on any Awurudu table. (New Year table); A table without Kiribath is like a wedding without a bride. Yes, Kiribath is the must have for any New Year table in Sri Lanka. CheckKiribath recipe.; Katta Sambola (Sri Lankan Chili Paste); Well, you may avoid this. But without this Sri Lankan chilli paste,you will not enjoy Kiribath. It is spicy and hot. It will make you reddish. But, you need to have freaking hot Katta Sambal for your Awurudu Table in Sri Lanka.; Checkkatta sambola recipe; Achcharu! mmm mouth wateringjust by hearing the name. It is another pickle thatis popular during the New Year season in Sri Lanka.; Recipes forSri Lankan pickleandPolos Achcharu; Although Malay Achcharu or Malay Pickle is not common on every April New Year table, it is again one of the main dishes to taste on any ceremonial occasion. Therefore, I thought of adding Malay pickle too to our Sri Lankan New Year traditional food items list.; Sri Lankan Malay Pickle (Malay Achcharu); Find out theMalay pickle recipehere; There are many traditional sweets thattake place the attention of theApril New Year dining table. Here are some of the sweets that you can find in Sri Lanka. Although I am unable to share a new recipe this time, I hope these recipes will help you to fill your New Year table.; Konda Kawum or oil cakes are the best sweets to celebrate any occasion in Sri Lanka. CheckKavum recipe.; Sri Lankan Kokis; Without kokis and without the cracking noise, you will not entertain your time during the April New Year!CheckSri Lankan Kokis Recipe.; Mung Guli is another Sri Lankan traditional sweet thatis really easy to cook.CheckMung Guli recipe.; A fewyears ago, I cooked Aluwa. This is easy to cook. I hope my Aluwa recipe will help you to add another sweet to your Sinhala & Hindu New Year table. I received emails from a few readers who tried this recipe. So, now it is your turn to try!Here is therecipe for Aluwa; Mung kavum is abit similar to the Mung Guli. The shape is different but thetaste will be mostly the same. Check thisMung Kavum recipe. It is easy to cook!; Dodol is another Sri Lankan traditional sweet that you can find during the New year season or in any ceremonial festival or occasion.Read more aboutSri Lankan Kalu dodol.; Aasmi (Asmi) from Sri Lanka; Asmi or Aasmi is another delicious sweet from Sri Lanka which is popular in any celebration. It is crunchy and it is sweet. Aasmi can make you craving for sweets. New Year is the special period that you can find Aasmi and a plate of Asmi can easily make your New Year table beautiful and complete!; Kokis with sesame seeds; This is another delicious way to cook Kokis.Add some toasted sesame seeds for your Kokis batter. Crunch feeling of Sesame seeds will add more taste toyour Kokis for this New Year! 🙂; Check the recipe:Kokis with Sesame Seeds; Milk Toffee (Kiri Toffee); Milk toffee is another sweet that is popular among Sri Lankans. I am not sure whether I can categorize this as a traditional Sri Lankan sweet or not. But, it is really easy to cook. If you look for easy Sri Lankan recipes for April New Year, try thisMilk Toffee recipe.; Naran Kavum is another delicious sweet which is also popular as a New Year treat. To cook Naran Kavum,Caramalized coconut mixture is used.Once the balls are dipped in a batter and deep-fried, Naran kawum is ready to serve.; Weli Thalapa is another traditional sweet that anyonelove to eat. It is easy to cook however you need to followthe exact recipe to cook wali thalapa without being too hard or too soft.; Sri Lankan food is influenced by other food cultures from time to time. Therefore we have different sweets and deserts to call Sri Lankan. Starting from cakes to sweets such as Marshmallows, there are other sweet treats that some Sri Lankans like to include on their Awurudu table. Therefore, below are some sweets that are not traditionally Sri Lankan, but you can still make those in the coming New Year.; These are not only sweet but also colourful. Anyone who has a sweet tooth will definitely like to taste a bite of a marshmallow anytime. If you like making marshmallows for New year, I have shared the recipe. CheckMarshmallow recipe.; Well, it is a bit long post. I added most of the traditional sweets and treats from Sri Lanka which you can cook forApril New Year. I am planning to update this post fromtime to time. So, don’t forget to bookmarkthe page for thelatest updates.; I hope this collection of recipes will help you to prepare for the Sinhala & Hindu New Year! Please try the recipes. And as always I am waiting to read your comments and emails regarding the recipes. Please let me know if you try these.; Wish you all Sri Lankans a Happy & Prosperous Sinhala & Hindu New Year!; Pin it for later!; New Year Recipes from Sri Lanka; Sri Lankan foodSri Lankan New Year RecipesSri Lankan sweetsSri lankan traditional sweets","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Sweets",https://foodcnr.com/sri-lankan-sweets-and-treats-for-april-new-year/,https://foodcnr.com/wp-content/uploads/2017/04/Sri-Lankan-New-year-Recipes.jpg
Sri Lankan Mushroom Stir-fry recipe,Sri Lankan Mushroom stir fry is a simple delicious and spicy vegetarian dish that is suitable as a side with plain rice.Cooked with Oyster mushroom and it is a spicy stir-fry.,Amila Gamage Wickramarachchi,2020-02-11T12:58:44+00:00,PT10M,PT10M,,,4,1 pct Oyster mushroom; 1 no onion (Medium sized); 3 no Green chillies; 1 sprig curry leaves; 1 piece Rampe (Pandan leaf); 1/4 tsp mustard seeds; 1/4 tsp turmeric powder; 1 tsp chili flakes; 1 piece cinnamon stick; 1 tbsp Cooking oil to fry; Salt (As per taste),"Step 1: Preparation: Wash mushroom and drain water.Squeeze the water from mushroom.Then split mushroom in to slices lengthwise.  Keep aside.Slice onion and Split green chilies lengthwise.Keep aside.; Step 2: Cooking the stir fry: Heat about 1-2 tbspn oil in a frying pan.When oil is hot Add mustard seeds .Allow spluttering.When mustard seeds starts popping up, add onions. Fry few minutes until the onion starts emitting aroma.At this stage, add curry leaves, rampe and green chilies. Mix well and stir fry for another few seconds.When onion mix is tender, add turmeric powder to the stir-fry and mix well.Finally add chili flakes to the stir-fry and mix well.; Step 3 : Adding mushroom and Final step: Add mushroom pieces to this mix. Mix well until all the ingredients combine well.Add salt as per taste.Mix well.Cover and cook for another few seconds until mushroom absorbs all flavours of ingredients. When mushroom changes its colour mix the stir fry.Check for salt and remove from the heat.A delicious Sri Lankan mushroom stir fry dish is ready to serve with plain rice.",,https://foodcnr.com/sri-lankan-mushroom-stir-fry/,https://foodcnr.com/wp-content/uploads/2020/02/Oyster-Mushroom-stir-fry.jpg
Karawala Thel Dala (Sri Lankan Dried Fish Fry),Karawala thel dala (Sri Lankan dried fish fry)-In Sinhala we call this as Karawala Baduma or Karawala thel dala is a salted fish stir-fry,written byAmila Gamage Wickramarachchi,"May 18, 2019",,,,,,50g dried fish (Tuna or similar fish)1 medium sized onion3-4 Green chillies1 sprig of curry leaves1 inch piece Rampe (Pandan leaf)¼ tspn mustard seeds¼ tspn turmeric powder1 tspn chili flakes1 inch piece cinnamon stickOil to frySalt as required,Step 1: Preparation; Step 2: Cooking,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Fish Recipes",https://foodcnr.com/karawala-thel-dala-sri-lankan-dried-fish-fry/,https://foodcnr.com/wp-content/uploads/2019/11/Sri-Lankan-Karawala-Baduma.jpg
Sri Lankan Style Arugula Sambola (Arugula Salad),This is a Sri Lankan Style Arugula Sambola or Arugula Salad which you can prepare with raw leaves.It is crunchy and healthy way to add arugula to your meal.,written byAmila Gamage Wickramarachchi,"January 17, 2016",,,,,4,"in western or other cuisines. It is perfect for many raw salads. Arugula is perfect for garnishing too same as in this Asparagus with lemon dressing recipe.Therefore I buy Arugula when I want to try other cuisines. But, I had an issue with leftover arugula.Arugula Most recipes need few arugula leaves, then the whole pack lies inside the fridge until I find another recipe. As a Sri Lankan home, most of our weekday cooking is with our traditional recipes. Until the next weekend comes, there is no time to make another dish with Arugula. Finally, part of the leaves will wither and not suitable to use! It is a complete waste.This is why I was thinking of how to use Arugula in a Sri Lankan recipe. With its crunchy raw taste, I presumed that Arugula may not taste nice when cooked. Therefore I decided to try it as a raw green sambola.It; came out delicious. As we cannot easily find green leaves that are suitable for; Sri Lankan sambola recipes, I am very happy with this new recipe. Now I have; (for 3-4 servings)Handful of Arugula Leaves½ cup fresh grated coconut3-4 small red onion/shallots sliced2-3 green chili slicedSalt to taste1 tbspn lime juice","Step
1:; Step
2:","Blogging Tips, Food & Travel, Health & Fitness, Reviews, Salad Recipes",https://foodcnr.com/sri-lankan-arugula-sambola/,https://foodcnr.com/wp-content/uploads/2019/10/Sri-Lankan-Arugula-sambola.jpg
Sausage Stir fry – Sri Lankan style Recipe,Here is how to cook Sri Lankan style sausage stir fry.If you look for sausage recipes I have shared some easy and quick recipes to cook in a minute.,written byAmila Gamage Wickramarachchi,"July 17, 2019",,,,,4,Be sure to adjust chili and other ingredients as per your taste.,Step 1: Preparation; Step 2: Cooking,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Chicken Recipes",https://foodcnr.com/sausage-stir-fry-sri-lankan/,https://foodcnr.com/wp-content/uploads/2019/12/Sausage-stir-fry.jpg
Sri Lankan Bath Aggala (Leftover Rice Balls),"Called as Bath Aggala,Bath Guli or rice balls this is a Sri Lankan traditional snack prepared with leftover rice.A delicious leftover food recipe!",written byAmila Gamage Wickramarachchi,"August 21, 2011",,,,,12,Sri Lankan Sweets and Treats for April New Year; Marshmallow Recipe Without Corn Syrup; Sri Lankan Bath Aggala (Leftover Rice Balls); Sri Lankan Kokis with Sesame Seeds; Mung Guli (A Sri Lankan Traditional Sweet),Step 1: Toast rice in low heat until the colour changes to a golden brown. Don’t burn.; Step 2: Grind the rice to powder.; Step 3: Use the flour to make the rice balls (Bath aggala); Step 1: Preparation of rice powder; Step 2: Preparation of the rice balls,"Blogging Tips, Food & Travel, Health & Fitness, Reviews, Sweets",https://foodcnr.com/bath-aggala-sri-lankan-leftover-rice-balls/,https://foodcnr.com/wp-content/uploads/2019/09/Sri-Lankan-Bath-Aggala.jpg
