recipe_id,title,instructions,calories,protein_g,carbs_g,fat_g,estimated_cost_lkr
1,Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,"Take the jackfruit seeds and boil them in water for 10 minutes. Now, let the jackfruit seeds to go room temperature. Then, cut them into half and peel off the skin. Add turmeric powder and salt. Mix them well. Heat the oil and fry jackfruit seeds until they start to turn golden. For me, it takes about 5 minutes under high flame. Finally, add some chili powder and mix well till all are combined. This is how to make the best Sri Lankan jackfruit seeds fry recipe at home. Serve and enjoy these deep-fried crispy and spicy jackfruit seeds.",1018.1,6.8,47.7,93.2,190.4
2,Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),"Rinse the bitter gourd and cut it into thin round pieces. Take off the middle part along with the seeds. Also, chop the onions, coriander leaves, and green chilies. Besides, take turmeric powder, curd, salt, and cooking oil. Add turmeric powder and salt to the bitter gourd. Mix those well until all are combined. Heat the oil and fry the bitter gourd pieces to a golden brown. For me, it takes about 10 minutes under high flame. Now take a large bowl and add onion, green chili, coriander leaves, curd, and salt. Mix them well. Finally, add fried bitter gourd pieces and mix everything till combined. This is how to make a simple bitter gourd fry with curd sambol recipe. Serve and enjoy this Sri Lankan healthy pavakkai or Karawila fried salad.",976.5,6.8,37.3,92.5,288.5
3,Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),"Take the ash gourd, peel off its skin, and cut off the part of the seed. Rinse and cut it into medium-sized pieces. Besides, cut the onion, green chilies, and dried red chilies. Additionally, prepare the coconut milk and take some water. Also, prepare with curry leaves, turmeric powder, salt, mustard seeds, and cooking oil. Now, place the skillet on the stove and add the ash gourd. On top of that, add green chili, ¼ parts of the onion, turmeric powder, salt, and water. Give a good mix. Cook covered under a high flame until all the liquid evaporates. Halfway through, take off the lid and give a good stir. For, me it takes about 10 minutes. Now, add coconut milk and give a mix. Cook covered under medium flame for about three minutes. Adjust salt if needed. Once done, switch off the flame and leave it aside for final preparation. Heat the oil and add mustard seeds. Let them splutter. Then, add the rest of the onion, curry leaves, and dried red chili. Sauté them until the onion turns golden. Finally, add the prepared ash gourd curry, give a gentle mix, and switch off the flame. This is how to cook the best and most tasty ash gourd curry recipe at home. Serve and enjoy this Sri Lankan Puhul curry recipe.",1323.0,26.6,69.8,111.4,283.0
4,Easy Chana Masala Recipe for Chapathi (No Coconut Milk),"Take the chickpeas and soak them overnight in the water. Then wash them thoroughly at least 2 or 3 times. Now add chickpeas, salt, and water to a pressure cooker and cook them until chickpeas turn tender. I leave them to cook until 10 whistles. Once done, leave the pressure cooker to remain covered until it comes to room temperature. Then open the lid and strain the water completely using a colander. Besides, finely chop the onion and coriander leaves. Also, slice the green chilies, dice the ginger garlic, and blend the tomatoes to a puree. Apart from that, get ready with water, curry powder, bay leaf, cloves, turmeric powder, fennel seeds, and salt. Now heat the oil and add green chilies, bay leaf, cloves, and fennel seeds. Sauté them 30 seconds. Then, add onion and sauté them till it turns translucent. After that, add diced ginger garlic and sauté them till the onion starts turning golden. Then, add tomato puree and salt. Mix and cook covered under low flame for five minutes. Now add curry powder, turmeric powder, and water. Give a good mix and cook covered under high flame for three minutes. Now, add the boiled chickpeas and mash them a bit until you get thick gravy as you want. Taste the gravy and adjust salt if needed. Finally, add the coriander leaves and give a good mix. This is how to make an easy Chana Masala recipe for chapathi without coconut milk. Serve and enjoy this delicious Sri Lankan Chana Masala.",1499.0,33.0,154.5,94.6,515.3
5,Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,"Cut the tomato into medium size pieces. Also, slice the green chilies and chop the onions. Besides, get ready with lime, curry leaves, fenugreek seeds, turmeric powder, and salt. Prepare the thin and thick coconut milk. In a cooking pot add tomato, turmeric powder, fenugreek seeds, salt, onion, curry leaves, green chilies, and thin coconut milk. Give a mix and switch on the flame. Cook covered under high flame for about five to six minutes. If the milk foams up reduce the flame and give a good stir. Now add the thick coconut milk and cook uncovered under medium flame for about two minutes. Stir occasionally to avoid foaming. Finally, switch off the flame and add the lime juice. Also, taste and adjust salt if needed. This is the easy and best way to make Tomato Sodhi recipe. Serve and enjoy this Sri Lankan style vegan sothi.",1218.5,40.1,180.3,52.6,296.5
6,[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,"Clean, rinse, and cut eggplants, potatoes, tomatoes, and banana peppers into large pieces. Also, slice the garlic and chop the onion. Besides, get ready with mustard seeds, fenugreek seeds, curry powder, turmeric powder, salt, and curry leaves. In addition, prepare thick coconut milk, thin coconut milk, and tamarind juice. Heat the oil and fry eggplant, potato, and banana pepper separately. Before fry, add some salt to each vegetable and mix. Fry them until starts turn golden. For me, it takes about five minutes to eggplant, five minutes to potato, and four minutes to banana pepper under high flame. Heat the oil and add mustard seeds. Let them splutter. Then, add onion and curry leaves. Sauté them till onion turn translucent. Now, add garlic and fenugreek seeds. Sauté them till the onion turns to a golden brown. Now add the tomatoes, turmeric powder, salt, curry powder, tamarind juice, and thin coconut milk. Give a good mix. Cook covered under high flame for six minutes. Now add the fried vegetables and thick coconut milk. Give a good gentle mix. Cook covered under low flame for about five minutes. Taste the curry and adjust salt if needed. This is how to make a delicious eggplant potato tomato curry recipe at home. Serve and enjoy this Sri Lankan style spicy brinjal Aloo tomato curry.",1532.5,37.5,97.2,120.4,651.9
7,How to Make Onion Achcharu in Jaffna? (Best & Simple),"Peel the shallots and get ready with all other ingredients as above. Firstly, wash all the vegetables. Then cut the carrot, banana pepper, and butter bonchi. Also, cut the tail part of green chilies. Put everything along with the onions on a flat surface and dry them for one or two hours. We usually dry them under the sunlight. If that’s hard dry them under the fan. Grind mustard seeds, dried red chilies, ginger, garlic, 50g of dates, and vinegar to a paste. (You don’t need to grind them to a smooth paste) Then, add sugar and salt to it. Mix them well. So now you have the ground paste, 150g of dates, and dried vegetables. Put everything in a large container and mix them well until all are combined. Once done, leave them in the same container for four to five hours. Then, again give a good mix and put them in an air-tight glass bottle for everyday use. This is how to make onion achcharu in Jaffna style. Serve and enjoy this best onion achcharu with rice/pittu/string hoppers and curries.",1675.1,18.0,157.0,112.2,305.0
8,Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),"Take the Agathi keerai and wash them thoroughly. Also, prepare coconut milk, tamarind juice, and take some water. Additionally, get ready with chopped onions, sliced green chilies, turmeric powder, and salt. Take a skillet and place the Agathi keerai in it. On top of that, add onions, green chilies, turmeric powder, salt, tamarind juice, and water. Cook covered under high flame for five minutes. Take off the lid, give a good mix, and again cook covered under high flame for about three minutes. Now add the coconut milk and cook uncovered under high flame for one or two minutes. Stir occasionally to avoid foaming the milk. Taste the Sodhi and adjust salt if needed. This is how to make a simple Agathi keerai Sodhi recipe at home. Serve and enjoy this Sri Lankan style traditional Agathi keerai Sodhi.",583.5,8.1,45.7,43.6,233.4
9,Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),"Take the eggplant, cut it into medium sized pieces, and rinse it well. Chop the onions and slice the green chilies and garlic cloves. Also, take the curry leaves, turmeric powder, salt, and water. Besides, get ready with thick coconut milk. (Refer Note 1) Place the cooking pot over the stove. Add the pieces of eggplant, onions, green chilies, garlic cloves, curry leaves, salt, and turmeric powder. Switch on the flame and add the water. Mix everything well. Cook covered under the high flame for 4 to 6 minutes. Take off the lid, stir and mix everything. Again cook covered under high flame until all the water disappears. For me, it takes about 4 minutes. Now take off the lid and turn the flame to low. Mash the eggplant using a spoon for 1 minute. Add the thick coconut milk and mix well. Cook covered under low flame for 2 to 4 minutes. Take off the lid and taste the curry. Adjust salt if needed. (Refer Note 3) Serve and enjoy this Sri Lankan style easy eggplant milk curry recipe or Kathirikai paal curry.",613.5,12.2,45.5,46.2,241.3
10,Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,"Take the pumpkin, rinse it well, and cut it into medium-sized pieces. Also, chop the onions and dry red chilies. Additionally, slice the green chilies and get ready with garlic, curry leaves, mustard seeds, cumin seeds, black pepper, turmeric powder, and salt. Prepare the thick coconut milk and take some water. Grind cumin seeds, black pepper, and garlic together to a paste. You don’t need to grind them to a smooth paste. Now, place the cooking skillet over the stove and put the pumpkin pieces in it. On top of that, add green chilies, 20% of the chopped onion, turmeric powder, salt, and water. Give a good mix. Cook covered under high flame for 10 minutes. Open the lid, give a good stir, and again cook covered under the high flame until all the liquid evaporates and the pumpkin turns tender. For me, it takes about 5 minutes. Now, mash the pumpkin pieces a bit. Add the ground mixture and coconut milk. Stir and mix well under low flame for a minute. Switch off the flame and keep it aside for final preparation. Heat the oil in a deep-fried pan and add mustard seeds. Let them splutter. Then, add the curry leaves and dried red chilies. Sauté those for 30 seconds and then add the remaining 80% of onions. Sauté those until onions start to turn golden. Now, add this fried mix to the pumpkin curry. Mix well until all combined. Taste the curry and adjust salt if needed. This is how to make a Sri Lankan pumpkin curry recipe with coconut milk. Serve and enjoy this delicious pumpkin curry recipe.",1597.0,38.8,108.6,126.7,432.3
