recipe_id,ingredient,unit,quantity
1,Jackfruit Seeds - 125g,,
1,Turmeric Powder - ½ teaspoon,,
1,Red Chili Powder - ½ teaspoon,,
1,Salt - As you want,,
1,Cooking Oil - As you want,,
2,Bitter Gourd - 100g,,
2,Onion - 37 1/2g,,
2,Green chili - 3/4 or 4,,
2,Coriander leaves - As you want,,
2,Curd - 1/2 tablespoons,,
2,Turmeric powder - ¼ teaspoon,,
2,Salt - As you want (KETO people use the Himalayan Pink Salt),,
2,Cooking oil - As you want (KETO people use the Organic Coconut Oil),,
3,Ash gourd/Winter melon - 166 2/3g (Before cleaning),,
3,Onion - 25g,,
3,Green chili - 1 or 4,,
3,Dried red chili - 1/3 or 2,,
3,Curry leaves - Few,,
3,Thick coconut milk - 33 1/3ml,,
3,Mustard seeds - ¼ teaspoon,,
3,Turmeric powder - ¼ teaspoon,,
3,Water - 50ml,,
3,Salt - As you want,,
3,Cooking oil - As you need,,
4,Chickpea - 50g,,
4,Tomato - 50g,,
4,Onion - 30g,,
4,Coriander leaves - As you want,,
4,Green chili - 2/5 or 3,,
4,Garlic clove - 3/5 or 4,,
4,Ginger - A small root (about the size of a garlic clove),,
4,Bay leaf - 1/5,,
4,Clove - 3/5 or 4,,
4,Curry powder - 2/5 tablespoons,,
4,Turmeric powder - ¼ teaspoon,,
4,Fennel seeds - 1/5 teaspoon,,
4,Water - 60ml,,
4,Salt - As you want,,
4,Cooking oil - As you want,,
5,Tomato - 30g,,
5,Turmeric powder - ½ teaspoon,,
5,Fenugreek seeds - ¼ teaspoon,,
5,Onion - 6g,,
5,Curry leaves - Few,,
5,Green chili - 3/5 or 4,,
5,Lime - ½,,
5,Thin coconut milk - 70ml,,
5,Thick coconut milk - 40ml,,
5,Salt - As you wish,,
6,Eggplant - 66 2/3g,,
6,Potato - 66 2/3g,,
6,Tomato - 33 1/3g,,
6,Banana pepper - 16 2/3g,,
6,Onion - 25g,,
6,Garlic - 1 or 7,,
6,Curry powder - 1/2 tablespoons,,
6,Fenugreek seeds - ½ teaspoon,,
6,Turmeric powder - ½ teaspoon,,
6,Mustard seeds - ½ teaspoon,,
6,Thick coconut milk - 16 2/3ml,,
6,Thin coconut milk - 100ml,,
6,Thin tamarind juice - 33 1/3ml,,
6,Curry leaves - Few,,
6,Salt - As you want,,
6,Cooking oil - As you want,,
7,Shallots/Small Onion - 500g (After peel),,
7,Carrot - 200g,,
7,Butter Bonchi - 200g,,
7,Banana Pepper - 150g,,
7,Dates - 200g,,
7,Green chili - 100g,,
7,Garlic cloves - 7 or 8,,
7,Ginger - Medium size (About the size of 2 garlic cloves),,
7,Mustard seeds - 50g,,
7,Sugar - 50g,,
7,Dried red chili - 30g,,
7,Vinegar - 300ml,,
7,Salt - As you want,,
8,Agathi keerai - 18 3/4g,,
8,Onion - 18 3/4g,,
8,Green chili - 3/4 or 4,,
8,Turmeric powder - ½ teaspoon,,
8,Semi thick coconut milk - 125ml,,
8,Thick tamarind juice - 12 1/2ml,,
8,Water - 75ml,,
8,Salt - As you want (KETO people use the Himalayan Pink Salt),,
9,Eggplant - 125g,,
9,Thick coconut milk - 50ml,,
9,Water - 75ml,,
9,Onion - 12 1/2g,,
9,Green chili - 1 or 3,,
9,Garlic clove - 1/2 or 2,,
9,Curry leaves - Few,,
9,Turmeric powder - ¼ teaspoon,,
9,Salt - As you need,,
10,Pumpkin - 1/8kg,,
10,Onion - 12 1/2g,,
10,Green chili - 1/4 or 3,,
10,Dried red chili - 1/4 or 3,,
10,Garlic clove - 3/8 or 4,,
10,Turmeric powder - ½ teaspoon,,
10,Cumin seeds - ½ teaspoon,,
10,Mustard seeds - ½ teaspoon,,
10,Black Pepper - ½ teaspoon,,
10,Thick coconut milk - 18 3/4ml,,
10,Water - 25ml,,
10,Curry leaves - Few,,
10,Salt - As you want,,
10,Cooking oil - As you want,,
11,Grated coconut - 50g,,
11,Onion - 12 1/2g,,
11,Green chili - 2 1/2 to 12,,
11,Thick tamarind juice - 1/4 ½ tablespoon,,
11,Sugar - ½ teaspoon,,
11,Salt - As you need (KETO people use the Himalayan Pink Salt),,
12,=====For Curry=====,,
12,Boneless mutton - 14 2/7g,,
12,Potato - 14 2/7g,,
12,Onion - 7 1/7g,,
12,Green chili - 1/7 or 6,,
12,Curry leaves - Few,,
12,Minced ginger - 0.03 tablespoon,,
12,Curry powder - 1/12 tablespoon,,
12,Turmeric powder - ½ teaspoon,,
12,Lime - ½,,
12,Salt - As you need,,
12,Cooking oil - As you need,,
12,=====For wrapper=====,,
12,All-purpose flour - 28 4/7g,,
12,Water - 50ml,,
12,Breadcrumbs - 7 1/7g,,
12,Salt - as you want,,
13,Full cream milk powder - 5 1/3g,,
13,Sugar - 3 1/3g,,
13,Butter - 0.03 tablespoons,,
13,Grated coconut - 1/13 tablespoons,,
13,Water - 2/13 tablespoons,,
13,Ground cardamom - 0.01 ½ teaspoon,,
13,Vanilla extract - 0.01 tablespoon,,
13,Food coloring - 0.01 teaspoon,,
13,Cloves - 1 1/3,,
14,Spring onion flower - 83 1/3g,,
14,Grated coconut - 2/3 tablespoons,,
14,Onion - 13 1/3g,,
14,Green chili - 2/3 or 3,,
14,Turmeric powder - ¼ teaspoon,,
14,Salt - As you wish,,
14,Cooking oil - 1/3 tablespoon,,
15,Fish - 2 or 5 pieces (Recommend to use fish head parts),,
15,Mango - 1/2 (Medium Size),,
15,Onion - 25g,,
15,Green chili - 1 or 3,,
15,Curry leaves - Few,,
15,Salt - As you need,,
15,Turmeric powder - ½ teaspoon,,
15,Thin coconut milk - 125ml,,
15,Thick coconut milk - 50ml,,
16,Grated coconut - 3 full tablespoons,,
16,Dried red chili - 3 to 8,,
16,Shallot/Small onion - 25g,,
16,Tamarind - Small portion with 1 1/2 or 4 seeds,,
16,Sugar - ½ teaspoon,,
16,Salt - As you want,,
16,Water - 1/2 or 2 teaspoons,,
17,Green Bean/Bonchi - 75g,,
17,Onion - 25g,,
17,Green chili - 1 or 3,,
17,Turmeric powder - Less than ¼ teaspoon,,
17,Water - 37 1/2ml,,
17,Thick coconut milk - 50ml,,
17,Curry leaves - Few,,
17,Cooking oil - As you need,,
17,Salt - As you need,,
18,Cabbage - 1/8kg,,
18,Potato - 31 1/4g,,
18,Onion - 18 3/4g,,
18,Green chili - 3/8 or 4,,
18,Curry leaves - Few,,
18,Turmeric powder - ½ teaspoon,,
18,Salt - As you want,,
18,Thick coconut milk - 31 1/4ml,,
18,Cooking oil - 1/4 tablespoons,,
19,Bitter Gourd - 100g,,
19,Onion - 41 2/3g,,
19,Green chili - 5/6 or 6,,
19,Thick coconut milk - 2/3 tablespoons,,
19,Very thick tamarind juice - 1/3 tablespoons,,
19,Turmeric powder - ½ teaspoon,,
19,Sugar - 1/6 teaspoon,,
19,Salt - As you want,,
19,Cooking oil - As you want,,
20,Tapioca/Cassava - 208 1/3g,,
20,Onion - 20 5/6g,,
20,Green chili - 1/2 or 4,,
20,Lime - ½,,
20,Fenugreek seeds - ¼ teaspoon,,
20,Turmeric powder - ½ teaspoon,,
20,Curry leaves - Few,,
20,Salt - As you want,,
20,Thick coconut milk - 33 1/3ml,,
20,Water - 100ml,,
21,Chickpeas - 83 1/3g,,
21,Water - As needed,,
21,Onion - 50g,,
21,Dried red chili - 2/3 or 3,,
21,Mustard seeds - ½ teaspoon,,
21,Salt - As you want,,
21,Curry leaves - Few,,
