recipe_id,ingredient,unit,quantity,seasonality,seasonality_confidence
1,Jackfruit Seeds - 125g,,,Dry_Season,0.8
1,Turmeric Powder - ½ teaspoon,,,Dry_Season,0.3
1,Red Chili Powder - ½ teaspoon,,,Year_Round,0.73
1,Salt - As you want,,,Dry_Season,0.3
1,Cooking Oil - As you want,,,Dry_Season,0.3
2,Bitter Gourd - 100g,,,Inter_Monsoon,0.91
2,Onion - 37 1/2g,,,Year_Round,0.64
2,Green chili - 3/4 or 4,,,Year_Round,0.8
2,Coriander leaves - As you want,,,Year_Round,0.33
2,Curd - 1/2 tablespoons,,,Dry_Season,0.3
2,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
2,Salt - As you want (KETO people use the Himalayan Pink Salt),,,Inter_Monsoon,0.33
2,Cooking oil - As you want (KETO people use the Organic Coconut Oil),,,Dry_Season,0.45
3,Ash gourd/Winter melon - 166 2/3g (Before cleaning),,,Inter_Monsoon,0.66
3,Onion - 25g,,,Year_Round,0.67
3,Green chili - 1 or 4,,,Year_Round,0.8
3,Dried red chili - 1/3 or 2,,,Year_Round,0.73
3,Curry leaves - Few,,,Year_Round,0.59
3,Thick coconut milk - 33 1/3ml,,,Dry_Season,0.45
3,Mustard seeds - ¼ teaspoon,,,Dry_Season,0.3
3,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
3,Water - 50ml,,,Inter_Monsoon,0.33
3,Salt - As you want,,,Dry_Season,0.3
3,Cooking oil - As you need,,,Dry_Season,0.3
4,Chickpea - 50g,,,Dry_Season,0.3
4,Tomato - 50g,,,Inter_Monsoon,0.31
4,Onion - 30g,,,Year_Round,0.67
4,Coriander leaves - As you want,,,Year_Round,0.33
4,Green chili - 2/5 or 3,,,Year_Round,0.8
4,Garlic clove - 3/5 or 4,,,Year_Round,0.63
4,Ginger - A small root (about the size of a garlic clove),,,Year_Round,0.46
4,Bay leaf - 1/5,,,Dry_Season,0.3
4,Clove - 3/5 or 4,,,Dry_Season,0.3
4,Curry powder - 2/5 tablespoons,,,Year_Round,0.62
4,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
4,Fennel seeds - 1/5 teaspoon,,,Dry_Season,0.3
4,Water - 60ml,,,Inter_Monsoon,0.33
4,Salt - As you want,,,Dry_Season,0.3
4,Cooking oil - As you want,,,Dry_Season,0.3
