Name,Unit,Average Price,Min Price,Usage Count,Notes
Mustard Seeds - ¼ Teaspoon,1 kg,,,25,Add realistic Sri Lankan market price
Mustard Seeds - ½ Teaspoon,1 kg,,,15,Add realistic Sri Lankan market price
Fenugreek Seeds - ¼ Teaspoon,1 kg,,,13,Add realistic Sri Lankan market price
-----,1 kg,,,13,Add realistic Sri Lankan market price
Water - 100Ml,1 kg,,,8,Add realistic Sri Lankan market price
Thin Tamarind Juice - 100Ml,1 kg,,,7,Add realistic Sri Lankan market price
Cumin Seeds - ¼ Teaspoon,1 kg,,,7,Add realistic Sri Lankan market price
Fenugreek Seeds - ½ Teaspoon,1 kg,,,6,Add realistic Sri Lankan market price
Water - 150Ml,1 kg,,,5,Add realistic Sri Lankan market price
Thin Tamarind Juice - 200Ml,1 kg,,,5,Add realistic Sri Lankan market price
Cumin Seeds - ½ Teaspoon,1 kg,,,5,Add realistic Sri Lankan market price
Water - 300Ml,1 kg,,,4,Add realistic Sri Lankan market price
Ginger Paste - ½ Teaspoon,1 kg,,,4,Add realistic Sri Lankan market price
Ginger Paste - ¼ Teaspoon,1 kg,,,4,Add realistic Sri Lankan market price
Water - As You Need,1 kg,,,4,Add realistic Sri Lankan market price
Crushed Cinnamon - ½ Tablespoon,1 kg,,,4,Add realistic Sri Lankan market price
Coriander Seeds - 1 Tablespoon,1 kg,,,4,Add realistic Sri Lankan market price
Water - 350Ml,1 kg,,,4,Add realistic Sri Lankan market price
Crushed Cinnamon - ¾ Teaspoon,1 kg,,,4,Add realistic Sri Lankan market price
Ginger Paste - ½ Tablespoon,1 kg,,,4,Add realistic Sri Lankan market price
Thick Tamarind Juice - 50Ml,1 kg,,,3,Add realistic Sri Lankan market price
Water - 500Ml,1 kg,,,3,Add realistic Sri Lankan market price
Mustard Seeds - 1 Teaspoon,1 kg,,,3,Add realistic Sri Lankan market price
Water - 250Ml,1 kg,,,3,Add realistic Sri Lankan market price
Tamarind Juice - 50Ml,1 kg,,,3,Add realistic Sri Lankan market price
Cardamom - 3 To 5,1 kg,,,3,Add realistic Sri Lankan market price
Eggplant - 250G,1 kg,,,2,Add realistic Sri Lankan market price
=====,1 kg,,,2,Add realistic Sri Lankan market price
Ginger - 1 Tablespoon,1 kg,,,2,Add realistic Sri Lankan market price
Breadcrumbs - 250G,1 kg,,,2,Add realistic Sri Lankan market price
Very Thick Tamarind Juice - 2 Tablespoons,1 kg,,,2,Add realistic Sri Lankan market price
Water - 600Ml,1 kg,,,2,Add realistic Sri Lankan market price
Raisins - 50G,1 kg,,,2,Add realistic Sri Lankan market price
Ginger Paste - 1 Teaspoon,1 kg,,,2,Add realistic Sri Lankan market price
Cardamom - 6 To 8,1 kg,,,2,Add realistic Sri Lankan market price
Spring Roll Paper - 20 Sheets,1 kg,,,2,Add realistic Sri Lankan market price
Noodles - 400G,1 kg,,,2,Add realistic Sri Lankan market price
Water - 400Ml,1 kg,,,2,Add realistic Sri Lankan market price
Basmati Rice - 350G,1 kg,,,2,Add realistic Sri Lankan market price
Tamarind Juice - 100Ml,1 kg,,,2,Add realistic Sri Lankan market price
Split Skinned Black Gram/Urad Dal - 250G,1 kg,,,2,Add realistic Sri Lankan market price
Thin Tamarind Juice - 150Ml,1 kg,,,2,Add realistic Sri Lankan market price
Cardamom - 4,1 kg,,,2,Add realistic Sri Lankan market price
Fenugreek Seeds - ¾ Teaspoon,1 kg,,,2,Add realistic Sri Lankan market price
Cabbage - 75G,1 kg,,,2,Add realistic Sri Lankan market price
Ginger Paste - ¾ Tablespoon,1 kg,,,2,Add realistic Sri Lankan market price
Water - As You Want,1 kg,,,2,Add realistic Sri Lankan market price
