title,original,reason
Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,Cooking Oil - As you want,material_no_quantity
Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),Cooking oil - As you want (KETO people use the Organic Coconut Oil),material_no_quantity
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),Cooking oil - As you need,material_no_quantity
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),Cooking oil - As you want,material_no_quantity
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Cooking oil - As you want,material_no_quantity
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Cooking oil - As you want,material_no_quantity
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Cooking oil - As you need,material_no_quantity
Sri Lankan Fish Sothi with Mango Recipe | Meen Sothi,Fish - 4 or 5 pieces (Recommend to use fish head parts),material_no_quantity
Green Bean Coconut Milk Curry | Sri Lankan Bonchi Recipe,Cooking oil - As you need,material_no_quantity
Best Bitter Gourd Sambol Recipe | Pavakkai/Karawila Fried Salad,Cooking oil - As you want,material_no_quantity
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,Cooking oil - As you want,material_no_quantity
Best Sambar Recipe without Sambar Powder & Coconut Milk,Cooking oil - As you need,material_no_quantity
Sri Lankan Style Fish Cutlet Recipe | Step by Step with Pictures,Cooking oil - As you need,material_no_quantity
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,Cooking oil - As you need,material_no_quantity
Easy Tomato Chutney Recipe for Dosa/Idli/Chapati/Paratha,Cooking oil - As you need,material_no_quantity
Make Fish Samosa Recipe Without Peas (Easy & Tasty),Cooking oil - As you wish,material_no_quantity
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,Cooking oil - As you need,material_no_quantity
Make Vegetable Fried Rice without Soy Sauce & Egg,Cooking oil - As you wish,material_no_quantity
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,Cooking oil - As you need,material_no_quantity
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,Cooking oil - As you need,material_no_quantity
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,Cooking Oil - As you need,material_no_quantity
Ponnanganni Keerai Varai With Grated Coconut | Alternanthera Sessilis Recipe,Cooking oil - As you need,material_no_quantity
Tasty & Spicy Beef Curry Recipe with Coconut & Tomato (KETO),Cooking oil - As you need (KETO people use the Organic Coconut Oil),material_no_quantity
Vegetable Kurakkan Noodles Recipe (Finger Millet),Cooking oil - As you need,material_no_quantity
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,Cooking oil - As you need,material_no_quantity
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,Cooking oil - As you need,material_no_quantity
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,Cooking oil - As you need,material_no_quantity
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,Cooking oil - As you need,material_no_quantity
How to Make Vegetable Rava Upma | Easy & Healthy Breakfast,Cooking oil - As you need,material_no_quantity
Spicy Banana Pepper Curry Recipe | Kari Milagai Puli Kuzhambu,Cooking oil - As you wish,material_no_quantity
Green Moong Dal Recipe With Coconut | Green Gram Curry For Chapathi (Payaru),Cooking oil - As you need,material_no_quantity
Easy Carrot Curry Recipe for Rice with Coconut Milk,Cooking oil - As you need,material_no_quantity
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),Cooking oil - As you need,material_no_quantity
Spicy Eggplant Tomato Curry Coconut Milk | KETO,Cooking oil - As you need (KETO people use the Organic Coconut Oil),material_no_quantity
Make Potato Curry for Poori/Chapati Sri Lankan Style,Cooking oil - 4 to 5 tablespoon,material_no_quantity
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Cooking oil - As you need,material_no_quantity
How to Make Beef Pepper Fry Recipe | KETO | Easy,Cooking oil - As you need (KETO people use Extra virgin coconut oil),material_no_quantity
Spicy Elephant Foot Yam Curry Recipe | Karunai Kizhangu,Cooking oil - As you need,material_no_quantity
Make Simple Banana Flower Recipe | Vazhaipoo Fry | KETO,Cooking oil - As you want,material_no_quantity
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,Cooking oil - As you need,material_no_quantity
Unique Ash Plantain Fry Dish | Vazhakkai Sambal | Jaffna,Cooking oil - As you need,material_no_quantity
Fenugreek Seed Curry Recipe | Vendhaya Kuzhambu with Coconut,Cooking oil - As you need,material_no_quantity
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,Fish - 6 to 8 pieces,material_no_quantity
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,Cooking oil - As you need,material_no_quantity
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",Cooking oil - as you want,material_no_quantity
Best Masala Dosa Filling Recipe | Spicy | Homemade,Cooking oil - As you wish,material_no_quantity
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,Cooking oil - As you need,material_no_quantity
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,Cooking oil - As you need (KETO people use the Organic Coconut Oil),material_no_quantity
Best Deviled Chicken Recipe Sri Lankan (Simple & Tasty),Tomato sauce - As you want,material_no_quantity
Best Deviled Chicken Recipe Sri Lankan (Simple & Tasty),Cooking oil - As you want,material_no_quantity
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,Cooking oil - As you want,material_no_quantity
How to Cook Raw Shrimp with Shell on? | KETO Spicy Prawn Curry,Cooking oil - As you wish (KETO people use Organic Coconut Oil),material_no_quantity
How to Cook Mutton Blood Fry? | Goat Blood Poriyal Jaffna,Cooking oil - As you want,material_no_quantity
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,Cooking oil - As you need,material_no_quantity
Spicy Chicken Thick Gravy Recipe without Coconut Milk (KETO),Cooking oil - As you want (KETO people use the Organic Coconut Oil),material_no_quantity
Spicy Beef Oxtail Curry Recipe without Wine or Coconut (KETO),Cooking oil - As you want (KETO people use the Organic Coconut Oil),material_no_quantity
Easy Chicken Spring Roll Recipe Step by Step with Pictures,Cooking oil - As you need,material_no_quantity
Meen Theeyal Recipe | Whole Fish Dish without Coconut,Whole fish - 2 medium size,material_no_quantity
How To Make Kothu Roti At Home | Easy Beef Koththu Parotta Recipe,Beef Curry - Curry from 500g of beef,material_no_quantity
How To Make Kothu Roti At Home | Easy Beef Koththu Parotta Recipe,Cooking oil - As you need,material_no_quantity
Make Beef Rolls Recipe Homemade | Crispy | Sri Lankan,Cooking oil - As you need,material_no_quantity
Best Chicken Kottu Roti Recipe | Sri Lankan Kothu Parotta Homemade,Cooking oil - As you need,material_no_quantity
Best Chicken Kottu Roti Recipe | Sri Lankan Kothu Parotta Homemade,Cooking oil - As you want,material_no_quantity
Shredded Chicken Fried Noodles with Vegetables Recipe,Cooking oil - As you need,material_no_quantity
Spicy Tinned Fish Sandwich Toast Recipe with Potato Masala,Butter - As you wish,material_no_quantity
Spicy Tinned Fish Sandwich Toast Recipe with Potato Masala,Cooking oil - As you need,material_no_quantity
Best Tin Fish Curry Recipe without Potatoes (Easy & Spicy),Cooking oil - As you need,material_no_quantity
Tasty Chicken Samosa Recipe with Step by Step Pics | Homemade,Cooking oil - As you need,material_no_quantity
Spicy Egg Curry Recipe for Rice | Simple Muttai Kuzhambu,Cooking oil - As you want,material_no_quantity
