title,reason,original,cleaned
Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,Scaled mass <2g (B-list),Turmeric Powder - ½ teaspoon,
Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),Scaled mass <2g (B-list),Turmeric powder - ¼ teaspoon,
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),Scaled mass <2g (B-list),Mustard seeds - ¼ teaspoon,
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),Scaled mass <2g (B-list),Turmeric powder - ¼ teaspoon,
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),Scaled mass <2g (B-list),Turmeric powder - ¼ teaspoon,
Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,Scaled mass <2g (B-list),Turmeric powder - ½ teaspoon,
Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,Scaled mass <2g (B-list),Fenugreek seeds - ¼ teaspoon,
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Scaled mass <2g (B-list),Fenugreek seeds - ½ teaspoon,
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Scaled mass <2g (B-list),Turmeric powder - ½ teaspoon,
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,Scaled mass <2g (B-list),Mustard seeds - ½ teaspoon,
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),Scaled mass <2g (B-list),Turmeric powder - ½ teaspoon,
Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),Scaled mass <2g (B-list),Turmeric powder - ¼ teaspoon,
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Scaled mass <2g (B-list),Turmeric powder - ½ teaspoon,
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Scaled mass <2g (B-list),Cumin seeds - ½ teaspoon,
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Scaled mass <2g (B-list),Mustard seeds - ½ teaspoon,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Non-ingredient text,=====For Curry=====,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Scaled mass <2g (B-list),Curry powder - 3 tablespoon,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Scaled mass <2g (B-list),Turmeric powder - ½ teaspoon,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Non-ingredient text,=====For wrapper=====,
How to Make Apple Toffee | Unique Sri Lankan Sweet,Scaled mass <2g (B-list),Ground cardamom - 1 ½ teaspoon,
Simple Spring Onion Flower Recipe | Vengaya Thal Poo Varai,Scaled mass <2g (B-list),Turmeric powder - ¼ teaspoon,
